year,source_file,rows_extracted,status,category,diagnosis
1975,1975 15164.pdf,19,ok,ok_gazette,Resmi Gazete with budget cetveller
1976,1976 15515.pdf,34,ok,ok_gazette,Resmi Gazete with budget cetveller
1977,1977 15865.pdf,7,ok,ok_gazette,Resmi Gazete with budget cetveller
1978,1978 16215.pdf,9,ok,ok_gazette,Resmi Gazete with budget cetveller
1979,1979 16565.pdf,10,ok,ok_gazette,Resmi Gazete with budget cetveller
1980,1980 16916.pdf,11,ok,ok_gazette,Resmi Gazete with budget cetveller
1981,1981 17265.pdf,11,ok,ok_gazette,Resmi Gazete with budget cetveller
1982,1982 17620.pdf,20,ok,ok_gazette,Resmi Gazete with budget cetveller
1983,1983 17895.pdf,1,ok,ok_gazette,Resmi Gazete with budget cetveller
1984,1984 18230.pdf,0,ok,zero_wrong_gazette,Wrong Resmi Gazete issue — non-budget content
1985,1985 18622.pdf,0,ok,zero_wrong_gazette,Wrong Resmi Gazete issue — non-budget content
1986,1986 18975.pdf,0,ok,zero_wrong_gazette,Wrong Resmi Gazete issue — non-budget content
1987,1987 19237.pdf,0,ok,zero_wrong_gazette,Wrong Resmi Gazete issue — non-budget content
1988,1988 19798.pdf,0,ok,zero_wrong_gazette,Wrong Resmi Gazete issue — non-budget content
1989,1989 20044.pdf,0,ok,zero_wrong_gazette,Wrong Resmi Gazete issue — non-budget content
1990,1990 20388.pdf,0,ok,zero_wrong_gazette,Wrong Resmi Gazete issue — non-budget content
1991,1991 20388.pdf,0,ok,zero_wrong_gazette,Wrong Resmi Gazete issue — non-budget content
1991,1991 20739.pdf,0,ok,zero_wrong_gazette,Wrong Resmi Gazete issue — non-budget content
1992,1992 21186.pdf,0,ok,zero_wrong_gazette,Wrong Resmi Gazete issue — non-budget content
1993,1993 21450.pdf,0,ok,zero_wrong_gazette,Wrong Resmi Gazete issue — non-budget content
1994,1994 21803.pdf,0,ok,zero_wrong_gazette,Wrong Resmi Gazete issue — non-budget content
1995,1995 22155.pdf,0,ok,zero_wrong_gazette,Wrong Resmi Gazete issue — non-budget content
1996,1996 22622.pdf,0,ok,zero_wrong_gazette,Wrong Resmi Gazete issue — non-budget content
1997,1997 22859.pdf,0,ok,zero_wrong_gazette,Wrong Resmi Gazete issue — non-budget content
1998,1998 23213.pdf,0,ok,zero_wrong_gazette,Wrong Resmi Gazete issue — non-budget content
1999,1999 23741.pdf,0,ok,zero_wrong_gazette,Wrong Resmi Gazete issue — non-budget content
2000,2000 23922.pdf,1,ok,ok_gazette,Resmi Gazete with budget cetveller
2001,2001 dfd35a0d-5187-41b4-a3ff-36c558adeca9.pdf,0,ok,zero_uuid_law_text,"UUID file — OCR verified: kanun articles only, no cetveller"
2001,2001-Malî-Yılı-Bütçe-Kanunu-Kanun-No.-4611 (1).pdf,0,ok,zero_law_text_only,Budget law articles only — no cetveller/appropriation tables
2001,2001-Malî-Yılı-Bütçe-Kanunu-Kanun-No.-4611.pdf,0,ok,zero_law_text_only,Budget law articles only — no cetveller/appropriation tables
2002,2002-Malî-Yılı-Bütçe-Kanunu-Kanun-No.-4726 (1).pdf,0,ok,zero_law_text_only,Budget law articles only — no cetveller/appropriation tables
2002,2002-Malî-Yılı-Bütçe-Kanunu-Kanun-No.-4726.pdf,0,ok,zero_law_text_only,Budget law articles only — no cetveller/appropriation tables
