"year","source_file","page_number","canonical_name","document_signal","observed_amount_text","unit_context","audit_classification","recommended_compile_treatment","note"
"1986","1986 19860228_049_SO_013.pdf","89","CNR — Consiglio Nazionale delle Ricerche","Table D line item for CNR authorization","698.000","in milioni di lire","verified_institutional_line","keep","Matches the final 1986 CNR series value after converting millions of lire to lira."
"1990","1990 19891229_302_SO_097.pdf","64","ASI — Agenzia Spaziale Italiana","Dedicated ASI line item in multi-year authorization table","800.000","table values expressed in millions of lire","verified_institutional_line","keep","Clean institutional ASI line for 1990."
"2010","2010 20091230_302_SO_244.pdf","53","FOE — Fondo Ordinario per gli Enti di ricerca","Ministry-wide current expenditure breakdown row for MIUR","489.789","Migliaia di euro","aggregate_ministry_row","drop","This is not a dedicated FOE appropriation line."
"2010","2010 20091230_302_SO_244.pdf","63","FIRST / FAR / FIRB — Fondi per la ricerca","Annex C/3 legislative funds table","550.000 in 2012 column only","Migliaia di euro","year_confusion_from_future_column","drop","The extracted 2010 survivor comes from the 2012 column, not from the 2010 column."
"2013","2013 20121229_302_SO_212.pdf","240","ASI — Agenzia Spaziale Italiana","Allegato 3 reduction transfers for research bodies","2.828.009","transfer-reduction annex","documented_but_not_comparable","drop","Represents transfer cuts/reductions, not the annual ASI appropriation."
"2013","2013 20121229_302_SO_212.pdf","240","INAF — Istituto Nazionale di Astrofisica","Allegato 3 reduction transfers for research bodies","1.038.216","transfer-reduction annex","documented_but_not_comparable","drop","Represents transfer cuts/reductions, not the annual INAF appropriation."
"2016","2016 20151230_302_SO_071.pdf","14","CNR — Consiglio Nazionale delle Ricerche","Legal article mentioning a CNR earmark","2.582.284 euro","plain euro legal clause","earmark_not_total_budget","drop","The clause says the CNR allocation includes up to 2,582,284 euro for one institute; it is not the annual CNR total."
"2017","2017 20161221_297_SO_057.pdf","22","FIRST / FAR / FIRB — Fondi per la ricerca","Legal clause reducing the fund to finance Human Technopole / EXPO-related provisions","5 milioni di euro reduction reference","plain euro legal clause","drop","Not a clean annual FIRST appropriation; the page discusses reallocations and reductions."
"2018","2018 20171229_302_SO_062.pdf","172","FOE / FIRST / PRIN","Ministerial economic classification table for MIUR","1.442.398.404 total transfers / 1.105.005.000 amortments","classification table in euro","documented_but_not_comparable","drop","This page is a ministry classification table, not a dedicated FOE/FIRST/PRIN appropriation table."
"2023","2023 20221229_303_SO_043.pdf","192","FOE — Fondo Ordinario per gli Enti di ricerca","Tabella A accantonamenti per nuove o maggiori spese","26.604.370 for MUR in 2023","special reserve table","documented_but_not_comparable","drop","The extracted FOE survivor points to a ministry reserve amount, not to the FOE annual appropriation."
"2024","2024 20231230_303_SO_040-1.pdf","221","FOE / FIRST / PRIN","Bilancio per azioni / services and general affairs classification page","9.180.109 and related generic MUR service lines","programme/action table in euro","documented_but_not_comparable","drop","Generic MUR administration/classification page, not a dedicated FOE/FIRST/PRIN funding line."
"2020","2020 20191230_304_SO_045.pdf","72","CNR — Consiglio Nazionale delle Ricerche","Legal article authorizing a specific CNR expenditure","750.000 euro","plain euro legal clause","earmark_not_total_budget","drop","The clause authorizes one 2020 expenditure in favor of CNR, not the annual CNR budget."
"1992","1992 19911231_305_SO_094.pdf","903-905","FOE — Fondo Ordinario per gli Enti di ricerca","Audited section/rubrica summary pages for Universita' e ricerca scientifica","2.688.000.000.000 / 67.042.250.000 and other section totals","scanned annex summary pages","wrong_row_attribution","drop","The compiled FOE survivor 825.900.217.000 ITL does not correspond to a clean FOE line in the audited annex block and is treated as a wrong-row attribution."
"1987","1987 19861230_301_SO_125.pdf","426","INFN — Istituto Nazionale di Fisica Nucleare","Traceability page resolves to a broad Rubrica / education summary, not an INFN appropriation line","29.355.854.574.000 section summary page","scanned summary page","wrong_page_trace","drop","The surviving 1987 INFN amount is not traceable to a dedicated INFN line on the audited page and is excluded from the final panel."
"1996","1996 19951229_302_SO_154.pdf","738","ASI — Agenzia Spaziale Italiana","Rubrica 3 table shows separate ASI programme lines, not a single annual agency total","385.950.000.000 for national/bilateral programmes; 560.250.000.000 for ESA collaboration","scanned appropriation table in lire","partial_program_line_not_total","drop","Keeping only the 385.950.000.000 line would understate ASI because the audited page splits the agency across multiple programme-specific appropriations."
