canonical_name,category,name_variants,preferred_item_type,active_years,notes,agency_type,confidence,source_entity,n_years_seen,avg_amount,reason,country
Management and Development of Energy Issues,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2024, 2024)","This program involves energy management and development, which is relevant to R&D.",rd_programme,0.7,Stjórnun og þróun orkumála,1,14670500.0,confidence below threshold,Iceland
"Innovation, Research and Marketing",direct_rd,[],"['section_total', 'program_total', 'line_item']","(2017, 2017)",This entity focuses on innovation and research in marketing.,rd_programme,0.6,"Nýsköpun, rannsóknir og markaðsmál",1,13594700.0,confidence below threshold,Iceland
Hydropower Research,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1992, 1994)",This entity is involved in research related to hydropower.,rd_programme,0.7,Atakivatnsorkurannséknum,3,13206300.0,confidence below threshold,Iceland
Geothermal Power Generation,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1994, 1994)","This program focuses on geothermal energy, indicating R&D relevance.",rd_programme,0.7,Virkjun jardhitatilraforkuvinnslu,1,4800000.0,confidence below threshold,Iceland
Research in Oxarfirdi,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1994, 1994)","This indicates a specific research initiative, suggesting R&D relevance.",rd_programme,0.7,Rannsóknir f Oxarfirdi,1,3200000.0,confidence below threshold,Iceland
Research Institute for Education and Learning,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1996, 1997)","This indicates a research institute focused on education, relevant to R&D.",rd_programme,0.7,Rannsóknastofnun uppeldis- og menntaméla,2,2501000.0,confidence below threshold,Iceland
Service Agreement with the Iceland Academy of the Arts,higher_education,[],"['section_total', 'program_total', 'line_item']","(2025, 2025)","This involves an agreement with an arts academy, which may include R&D activities.",higher_education,0.6,Þjónustusamningur við Listaháskóla Íslands,1,1994000.0,confidence below threshold,Iceland
Funding for Research and Oversight,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2000, 2000)",This funding is allocated for research and oversight activities.,rd_programme,0.7,Framlég til rannsókna og eftirlit,1,1521800.0,confidence below threshold,Iceland
Contribution to Research and Other Projects,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2000, 2000)",This contribution supports research and various projects.,rd_programme,0.7,Framlag til rannsóknar og annarra verkefna,1,1064700.0,confidence below threshold,Iceland
Contribution to Research,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2000, 2010)",This program provides funding for various research initiatives.,rd_programme,0.7,Framlag til rannsókna,2,468900.0,confidence below threshold,Iceland
