year,canonical_name,category,amount_local,unit,currency,item_type,source_file,page_number,pdf_path,full_text_cache,line_description_en,traceability_status,trace_excerpt,series_notes
2015,Callaghan Innovation,science_agency,63710000.0,dollar,NZD,verified_override,2015_Appropriation Estimates Act.pdf,10.0,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/New Zealand/2015_Appropriation Estimates Act.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/output/budget/full_text/New Zealand/pdf_5178008fefe9__2015_Appropriation_Estimates_Act.txt.gz,Science and Innovation: Callaghan Innovation,verified_against_compiled_series,"Communications: Acquisition of | Textphone Equipment | 200 | Energy and Resources: Crown Energy | Efficiency | 2,000 | Science and Innovation: Callaghan | Innovation | 63,710 | 1/13",gap: no matching rows in this year; manual override from original New Zealand budget file
2016,Callaghan Innovation,science_agency,59651000.0,dollar,NZD,program_total,2016_Appropriation Estimates Act.pdf,11.0,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/New Zealand/2016_Appropriation Estimates Act.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/output/budget/full_text/New Zealand/pdf_46a192ff6d77__2016_Appropriation_Estimates_Act.txt.gz,Callaghan Innovation - Operations,verified_against_compiled_series,"Commerce Commission Litigation Funds | 10,500 | Energy Efficiency and Conservation | 30,584 | Policy Advice and Related Outputs | 53,296 | Science and Innovation: Callaghan | Innovation - Operations | 59,651 | Science and Innovation: Contract",Tracks the comparable agency / operations appropriation. Excludes early strategic-investment rows.
2017,Callaghan Innovation,science_agency,59651000.0,dollar,NZD,line_item,2017_Appropriation Estimates Act.pdf,9.0,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/New Zealand/2017_Appropriation Estimates Act.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/output/budget/full_text/New Zealand/pdf_6a346dcfa253__2017_Appropriation_Estimates_Act.txt.gz,Callaghan Innovation - Operations,verified_against_compiled_series,"Communications: Services for Deaf, | Hearing Impaired and Speech Impaired | People | 4,684 | Policy Advice and Related Outputs | 60,687 | Science and Innovation: Callaghan | Innovation - Operations | 59,651 | Science and Innovation: Contract",Tracks the comparable agency / operations appropriation. Excludes early strategic-investment rows.
2018,Callaghan Innovation,science_agency,59651000.0,dollar,NZD,program_total,2018_Appropriation Estimates Act.pdf,10.0,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/New Zealand/2018_Appropriation Estimates Act.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/output/budget/full_text/New Zealand/pdf_396e02db9140__2018_Appropriation_Estimates_Act.txt.gz,Callaghan Innovation - Operations,verified_against_compiled_series,"383,342 | Research, Science and Innovation: | Callaghan Innovation - Operations | 59,651 | Research, Science and Innovation: | Contract Management",Tracks the comparable agency / operations appropriation. Excludes early strategic-investment rows.
2019,Callaghan Innovation,science_agency,75151000.0,dollar,NZD,verified_override,2019_Appropriation Estimates Act.pdf,10.0,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/New Zealand/2019_Appropriation Estimates Act.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/output/budget/full_text/New Zealand/pdf_1e4f80dc63ee__2019_Appropriation_Estimates_Act.txt.gz,"Research, Science and Innovation: Callaghan Innovation - Operations",verified_against_compiled_series,"4,684 | Policy Advice and Related Outputs | 57,092 | Regional Economic Development: | Provincial Growth Fund | 986,786 | Research, Science and Innovation: | Callaghan Innovation - Operations | 75,151 | Research, Science and Innovation: Contract",gap: no matching rows in this year; manual override from original New Zealand budget file
2020,Callaghan Innovation,science_agency,80288000.0,dollar,NZD,verified_override,2020_Appropriation Estimates Act.pdf,9.0,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/New Zealand/2020_Appropriation Estimates Act.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/output/budget/full_text/New Zealand/pdf_372745993e00__2020_Appropriation_Estimates_Act.txt.gz,"Research, Science and Innovation: Callaghan Innovation - Operations",verified_against_compiled_series,"Policy Advice and Related Services to | Ministers | 60,186 | Regional Economic Development: | Provincial Growth Fund | 185,053 | Research, Science and Innovation: | Callaghan Innovation - Operations | 80,288 | Research, Science and Innovation:",gap: no matching rows in this year; manual override from original New Zealand budget file
2021,Callaghan Innovation,science_agency,79823000.0,dollar,NZD,verified_override,2021_Appropriation Estimates Act.pdf,11.0,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/New Zealand/2021_Appropriation Estimates Act.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/output/budget/full_text/New Zealand/pdf_50aa5a505213__2021_Appropriation_Estimates_Act.txt.gz,"Research, Science and Innovation: Callaghan Innovation - Operations",verified_against_compiled_series,"Energy and Resources: Renewable | Energy in Public and Māori Housing | 5,700 | Policy Advice and Related Services to | Ministers | 80,914 | Research, Science and Innovation: | Callaghan Innovation - Operations | 79,823 | Research, Science and Innovation:",gap: no matching rows in this year; manual override from original New Zealand budget file
2022,Callaghan Innovation,science_agency,81240000.0,dollar,NZD,line_item,2022_Appropriation Estimates Act.pdf,11.0,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/New Zealand/2022_Appropriation Estimates Act.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/output/budget/full_text/New Zealand/pdf_f44accf0bd97__2022_Appropriation_Estimates_Act.txt.gz,Callaghan Innovation - Operations,verified_against_compiled_series,"83,714 | Research, Science and Innovation: | Callaghan Innovation - Operations | 81,240 | Research, Science and Innovation: | Contract Management",Tracks the comparable agency / operations appropriation. Excludes early strategic-investment rows.
2023,Callaghan Innovation,science_agency,85868000.0,dollar,NZD,verified_override,2023_Appropriation Estimates Act.pdf,10.0,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/New Zealand/2023_Appropriation Estimates Act.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/output/budget/full_text/New Zealand/pdf_3313b849ac51__2023_Appropriation_Estimates_Act.txt.gz,"Research, Science and Innovation: Callaghan Innovation - Operations",verified_against_compiled_series,"Regional Development: Provincial | Growth Fund | 53,818 | Regional Development: Regional | Strategic Partnership Fund | 15,000 | Research, Science and Innovation: | Callaghan Innovation - Operations | 85,868 | Research, Science and Innovation:",gap: no matching rows in this year; manual override from original New Zealand budget file
2024,Callaghan Innovation,science_agency,85844000.0,dollar,NZD,program_total,2024_Appropriation Estimates Act.pdf,11.0,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/New Zealand/2024_Appropriation Estimates Act.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/output/budget/full_text/New Zealand/pdf_03fa7bcc1884__2024_Appropriation_Estimates_Act.txt.gz,Callaghan Innovation - Operations,verified_against_compiled_series,"57,829 | Science, Innovation and Technology: | Callaghan Innovation - Operations | 85,844 | Science, Innovation and Technology: | Contract Management",Tracks the comparable agency / operations appropriation. Excludes early strategic-investment rows.
