country,year,current_source_file,current_source_pages,source_issue_type,priority,local_alternative_count,local_alternative_files,target_source_type,what_to_look_for,recommended_search_hint
Poland,1995,1995 text.pdf,6,source_problem_incomplete_pdf,high,0,,full budget annex or annex volume,"A complete annex with institutional budget tables, not only the short legal act body.",Poland budget 1995 annex research science agency tables
Poland,2000,2000 text.pdf,304,source_problem_ocr_broken,high,0,,clean searchable PDF or alternate scan,A replacement PDF with a usable text layer or a scan suitable for OCR recovery.,Poland budget 2000 annex research science agency tables
Poland,2001,2001 text.pdf,272,parsed_text_but_no_structured_budget_hits,medium,0,,budget annex with part/section tables,"Annex pages listing institutional appropriations, section-28 tables, financial plans, or named agency budget tables.",Poland budget 2001 annex research science agency tables
Poland,2002,2002 text.pdf,267,parsed_text_but_no_structured_budget_hits,medium,0,,budget annex with part/section tables,"Annex pages listing institutional appropriations, section-28 tables, financial plans, or named agency budget tables.",Poland budget 2002 annex research science agency tables
Poland,2003,2003 text.pdf,273,parsed_text_but_no_structured_budget_hits,medium,0,,budget annex with part/section tables,"Annex pages listing institutional appropriations, section-28 tables, financial plans, or named agency budget tables.",Poland budget 2003 annex research science agency tables
Poland,2004,2004 text.pdf,278,parsed_text_but_no_structured_budget_hits,medium,0,,budget annex with part/section tables,"Annex pages listing institutional appropriations, section-28 tables, financial plans, or named agency budget tables.",Poland budget 2004 annex research science agency tables
Poland,2005,2005 text.pdf,304,parsed_text_but_no_structured_budget_hits,medium,0,,budget annex with part/section tables,"Annex pages listing institutional appropriations, section-28 tables, financial plans, or named agency budget tables.",Poland budget 2005 annex research science agency tables
Poland,2006,2006 text.pdf,312,parsed_text_but_no_structured_budget_hits,medium,0,,budget annex with part/section tables,"Annex pages listing institutional appropriations, section-28 tables, financial plans, or named agency budget tables.",Poland budget 2006 annex research science agency tables
Poland,2007,2007 text.pdf,320,parsed_text_but_no_structured_budget_hits,medium,0,,budget annex with part/section tables,"Annex pages listing institutional appropriations, section-28 tables, financial plans, or named agency budget tables.",Poland budget 2007 annex research science agency tables
Poland,2009,2009 text.pdf,411,parsed_text_but_no_structured_budget_hits,medium,0,,budget annex with part/section tables,"Annex pages listing institutional appropriations, section-28 tables, financial plans, or named agency budget tables.",Poland budget 2009 annex research science agency tables
Poland,2012,2012 text.pdf,5,source_problem_incomplete_pdf,high,0,,full budget annex or annex volume,"A complete annex with institutional budget tables, not only the short legal act body.",Poland budget 2012 annex research science agency tables
