country,canonical_name,year,current_status,manual_classification,source_file,page_number,evidence_summary,recommended_action
Poland,NCBiR (Narodowe Centrum Badań i Rozwoju),2013,missing,recoverable_miss,2013 text.pdf,355-357,"Original contains the full NCBiR financial plan; the table shows a clear 'Dotacje ogółem' block in thousand zloty, so the current gap is not a source absence.",recover_from_financial_plan
Poland,KBN (Komitet Badań Naukowych),1999,missing,recoverable_miss,1999 D1999017015402.pdf,41,"Budget section for KBN shows a defensible annual appropriation block headed 'KOMITET BADAŃ NAUKOWYCH' with total and sub-lines; current gap reflects selection failure, not source absence.",recover_from_budget_section
Poland,KBN (Komitet Badań Naukowych),1991,missing,documented_but_not_comparable,1991 text.pdf,21,"Original has a KBN total in 'w milionach złotych', but it is a pre-redenomination old-zloty context and was removed for comparability rather than missingness.",keep_gap_unless_old_zloty_policy_changes
Poland,KBN (Komitet Badań Naukowych),1996,missing,documented_but_not_comparable,1996 text.pdf,11,"The available extracted KBN mention is only a very small 5,920-thousand row, which behaves like a weak sub-line rather than a defensible main annual appropriation.",keep_gap
Poland,PAN (Polska Akademia Nauk),2014,missing,mentioned_but_not_defensible_total,2014 text.pdf,252,"Page lists PAN sub-lines for organs, auxiliary units, and other activity only; no single clear PAN annual appropriation was identified in this block.",keep_gap
Poland,PAN (Polska Akademia Nauk),2015,missing,mentioned_but_not_defensible_total,2015 text.pdf,257,"Page lists PAN sub-lines rather than a clean institutional total; prior survivor was misassigned from another block.",keep_gap
Poland,PAN (Polska Akademia Nauk),2016,missing,mentioned_but_not_defensible_total,2016 D2016000027802.pdf,255,"Original clearly mentions PAN and several amounts, but they are decomposed grants and activity components, not a clean comparable PAN appropriation.",keep_gap
Poland,PAN (Polska Akademia Nauk),2017,missing,mentioned_but_not_defensible_total,2017 text.pdf,262,"PAN appears with multiple component lines; manual review did not find a single defendable annual total comparable with retained years.",keep_gap
Poland,PAN (Polska Akademia Nauk),2018,missing,mentioned_but_not_defensible_total,2018 text.pdf,261,"PAN block is present, but the earlier retained 34,889 figure was only 'other activities' and not a full PAN appropriation.",keep_gap
Poland,PAN (Polska Akademia Nauk),2019,missing,mentioned_but_not_defensible_total,2019 text.pdf,262-274,"PAN is present in the original, but the rows reviewed are fragmented and do not provide a clean institutional total suitable for the final panel.",keep_gap
Poland,PAN (Polska Akademia Nauk),2020,missing,mentioned_but_not_defensible_total,2020 text.pdf,241-253,"PAN appears in multiple blocks, but the identified amounts are partial program/activity lines rather than a single defendable PAN appropriation.",keep_gap
Poland,PAN (Polska Akademia Nauk),2021,missing,mentioned_but_not_defensible_total,2021 text.pdf,246-259,"PAN is mentioned in the source, but current evidence still points to fragmented sub-lines rather than a stable annual total.",keep_gap
Poland,PAN (Polska Akademia Nauk),2024,missing,mentioned_but_not_defensible_total,2024 text.pdf,242-256,"PAN appears in the original, but only decomposed lines were confirmed during manual review; no clear final total was validated.",keep_gap
Poland,Łukasiewicz Research Network,2021,missing,documented_but_not_comparable,2021 text.pdf,60 and 530-531,"The 2021 survivor is a network-wide activity line, while later years are documented only through Centrum Łukasiewicz or centre-plus-institutes evidence, so this cannot anchor a consistent series.",keep_gap_due_to_level_mismatch
