reform_id,country_code,country_name,survey_year,implementation_year,announcement_year,announcement_year_source,announcement_year_confidence,legislation_year,legislation_year_source,legislation_year_confidence,implementation_year_end,implementation_year_source,implementation_year_confidence,theme,sub_theme,secondary_type,alternative_theme,rd_actor,rd_stage,growth_orientation,growth_orientation_rationale,growth_orientation_confidence,package_name,component_name,is_component,status,status_evidence,status_confidence,is_major_reform,importance_bucket,importance_rationale,importance_confidence,description,source_quote,source_page_start,source_page_end,event_id,n_mentions,mention_survey_years,mention_ids
DNK_2000_001,DNK,Denmark,2000,1992.0,,,,,,,,explicit,high,innovation,rd_funding,,,public,applied,growth_supporting,"The subsidies are designed to promote renewable energy production, which can lead to long-term environmental benefits and economic growth through the development of a competitive wind energy sector.",high,Wind Energy Support Programme,,False,implemented,The subsidies have been in place since 1992 and have significantly supported the growth of the wind energy sector.,high,True,3,"The reform represents a major commitment to renewable energy, significantly impacting the energy sector and contributing to Denmark's leadership in wind energy technology.",high,"Denmark has implemented substantial public subsidies to support the wind turbine sector, which includes production subsidies, tax subsidies for co-operatively-owned wind turbines, and guaranteed prices for wind-generated electricity.","The high cost of producing wind turbine electricity has required substantial public subsidies to enable the sector to expand, totalling almost DKr4 billion over the past six years.",124.0,124.0,EVT_DNK_1992_0001,1,2000,DNK_2000_001
DNK_1997_001,DNK,Denmark,1997,1997.0,,,,,,,,explicit,high,innovation,startup_ecosystem,,,public_private,commercialization,growth_supporting,"Facilitating access to funding for innovative startups is expected to enhance entrepreneurship and innovation, contributing positively to economic growth.",high,Entrepreneurial Support and Risk Capital,,False,implemented,Both initiatives have been successfully established and are operational.,high,False,2,The establishment of a risk capital market and a permanent support scheme represents significant but not structural changes to the entrepreneurial ecosystem.,medium,"The Danish government established a risk capital market for entrepreneurs and made an entrepreneurial support scheme permanent, aimed at enhancing the entrepreneurial climate and addressing market failures in the supply of risk capital to SMEs, facilitating access to funding for innovative startups.","An entrepreneurial support scheme has been made permanent, and has been followed by government intervention to establish a market for subordinate loan capital to enterprises.",81.0,81.0,EVT_DNK_1997_0002,1,1997,DNK_1997_001
DNK_1997_002,DNK,Denmark,1997,1997.0,,,,1997.0,explicit,high,,explicit,high,innovation,innovation_instruments,,,public_private,adoption,growth_supporting,"Enhancing competition and innovation in the rail transport sector is expected to improve efficiency and service quality, contributing to economic growth.",high,Rail Transport Innovation Framework,Competition Framework,False,implemented,The framework has been established and is currently in effect.,high,False,2,The establishment of a framework for competition and innovation represents a significant change in the governance of the rail transport sector.,medium,"The Danish government established a framework for improving competition in the rail transport sector, which includes measures to enhance innovation in the sector.",Parliament adopts a framework for improving competition in the rail transport sector.,147.0,147.0,EVT_DNK_1997_0003,1,1997,DNK_1997_002
DNK_2003_001,DNK,Denmark,2003,2002.0,,,,,,,,explicit,high,innovation,innovation_instruments,,,private,applied,growth_supporting,"The tax credits incentivize private sector investment in R&D, potentially leading to increased innovation and productivity.",high,2002 Competition Package,Tax Credits for R&D,True,implemented,The competition package was introduced in January 2002.,high,False,2,"The introduction of tax credits for R&D represents a significant policy change aimed at enhancing private sector innovation, although it is part of a broader regulatory simplification effort.",medium,"A competition package was introduced to simplify regulation and ease firms’ administrative burdens, including a pilot scheme on tax credits for business R&D investments for the years 2002 and 2003.",A competition package was introduced in January 2002 to simplify regulation and ease firms’ administrative burdens.,177.0,177.0,EVT_DNK_2002_0004,1,2003,DNK_2003_001
DNK_2005_002,DNK,Denmark,2005,2002.0,,,,,,,,explicit,high,innovation,innovation_instruments,,,private,adoption,growth_supporting,"Simplifying tax rules and providing tax credits are expected to increase private investment in innovation, thereby supporting economic growth.",high,Innovation Investment and Collaboration Reform,Tax Simplification and Credit Scheme,True,implemented,The tax credit scheme has been introduced and is operational.,high,False,2,These reforms are significant in promoting private investment but do not represent a complete overhaul of the system.,medium,"The Danish government is working to simplify complicated tax rules that hinder private investment in innovation and venture capital, while also having introduced a tax credit scheme to encourage collaboration between firms and public research institutions. These measures aim to enhance research partnerships and stimulate private sector investment in innovation.",A tax credit scheme was tried out in 2002 whereby a firm received a 150% tax credit for payments made to a public institution as part of a collaborative research project.,,,EVT_DNK_2002_0005,1,2005,DNK_2005_002
DNK_2005_001,DNK,Denmark,2005,2004.0,,,,2004.0,explicit,high,,explicit,high,innovation,knowledge_transfer,,,public_private,commercialization,growth_supporting,Enhancing technology transfer and commercialization is expected to lead to increased innovation and economic growth.,high,Technology Transfer and Commercialization Reform,University Invention Ownership,True,implemented,"The reform has been put into practice, allowing universities to claim ownership of inventions.",high,True,3,"The reform significantly changes the ownership structure of inventions, which is a major shift in policy.",high,"Denmark's government has implemented a reform allowing universities to claim ownership of their employees' inventions, which enhances their ability to commercialize intellectual property and boost technology transfer. This reform aims to improve technology transfer to enhance the commercialization of research, addressing previous bureaucratic obstacles.","A reform in 2000 improved technology transfer, but research funding is still largely institution-based with little explicit link to quality.",,,EVT_DNK_2004_0006,2,"2005,2008","DNK_2005_001,DNK_2008_003"
DNK_2005_003,DNK,Denmark,2005,2005.0,2004.0,explicit,high,,,,,explicit,high,innovation,rd_funding,,,public_private,applied,growth_supporting,"Increasing R&D spending and implementing performance-based funding are expected to enhance research quality and relevance, contributing to economic growth.",high,R&D Funding Reform,Performance-Based Funding Mechanism,True,implemented,"R&D spending has increased, and the government is actively working on the funding mechanism.",high,True,3,The shift to performance-based funding is significant but does not represent a complete overhaul of the funding system.,medium,"Denmark has seen an increase in R&D spending, indicating a commitment to enhancing its research capabilities and innovation environment. The government plans to shift towards a contestable performance-based funding mechanism for research, allowing private firms to compete for public research funds on equal terms, which is expected to improve the effectiveness of the research budget by tying funding to quality outcomes.",Getting better results from the research budget would also be useful. One way is to shift further towards a contestable performance-based funding mechanism and to tie funding to quality.,10.0,10.0,EVT_DNK_2005_0007,3,"2005,2006,2008","DNK_2005_003,DNK_2006_002,DNK_2008_001"
DNK_2006_004,DNK,Denmark,2006,2005.0,,,,,,,,explicit,high,innovation,innovation_instruments,,,private,adoption,growth_supporting,Easing bankruptcy rules can help preserve viable businesses and promote innovation by allowing them to recover.,medium,Bankruptcy Reform,Eased Bankruptcy Rules,False,implemented,The reform has been successfully implemented since 2005.,high,False,1,The reform is an adjustment to existing rules rather than a major overhaul.,medium,"Bankruptcy rules have been eased to allow greater opportunities for informal corporate rescue plans, facilitating smoother transitions for struggling businesses.",Bankruptcy rules were eased October 2005.,56.0,56.0,EVT_DNK_2005_0008,1,2006,DNK_2006_004
DNK_2006_003,DNK,Denmark,2006,2006.0,,,,,,,,explicit,high,innovation,innovation_instruments,,,private,commercialization,growth_supporting,Encouraging pension funds to invest in venture capital is expected to enhance funding for innovative startups.,medium,Venture Capital Participation Reform,Pension Fund Tax Reform,False,implemented,The reform has been enacted and is currently in effect.,high,False,2,The reform is significant as it modifies tax rules to stimulate investment in innovation.,medium,"Taxation rules for pension funds have been revised to encourage their participation in the venture capital market, including a temporary 5% tax relief for investments via SME market places.",Taxation of pension funds has been simplified from January 2006.,56.0,56.0,EVT_DNK_2006_0009,2,"2006,2008","DNK_2006_003,DNK_2008_004"
DNK_2006_005,DNK,Denmark,2006,2006.0,2005.0,explicit,high,,,,,explicit,high,innovation,other,,,public,unknown,unclear_or_neutral,The impact on economic growth is ambiguous as it focuses on social issues rather than direct innovation.,medium,Social Housing and Integration Reform,Renovation and Modernisation Measures,False,implemented,The measures have been enacted and are currently in effect.,high,False,2,The reform addresses significant social challenges but does not directly relate to innovation policy.,medium,"The Danish government has launched several measures to improve integration and reduce ghetto problems, including renovating and modernising buildings in the social housing sector and earmarking funds for social initiatives.",The government has recently launched several measures to cope with integration and ghetto problems.,130.0,130.0,EVT_DNK_2006_0010,1,2006,DNK_2006_005
DNK_2008_002,DNK,Denmark,2008,2006.0,2007.0,explicit,high,,,,,explicit,high,innovation,human_capital,,,public,adoption,growth_supporting,"By enhancing skills and promoting lifelong learning, the strategy supports the development of a more capable workforce, which is essential for innovation.",high,Human Capital and R&D Enhancement,Skill Development Initiatives,True,implemented,The initiatives outlined in the Globalisation Strategy have been put into practice since 2006.,high,True,3,"This reform represents a major initiative to align education and training with the needs of the economy, significantly impacting human capital development.",high,"Denmark's Globalisation Strategy from 2006 aims to enhance R&D and higher education financing, promoting lifelong learning and skill development in the public sector. This includes systematic projections of future staffing and skill needs, and expanding vocational training for social and health assistants.","In June 2007, a major agreement was entered between the government, the local/regional authorities and the unions covering virtually all parts of the public sector workforce.",,,EVT_DNK_2006_0011,2,"2008,2012","DNK_2008_002,DNK_2012_002"
DNK_2006_001,DNK,Denmark,2006,2007.0,2006.0,explicit,high,,,,,explicit,high,other,other,,,public,unknown,growth_supporting,"The reform is expected to enhance public sector efficiency, which can lead to better allocation of resources and improved service delivery.",high,Municipal Reform Initiative,Municipality Reduction,False,announced,A major structural reform will come into force from January 2007.,high,True,3,"This reform represents a significant overhaul of local governance structures, which is expected to have lasting impacts on public administration efficiency and service delivery.",high,"A major structural reform will come into force from January 2007, reducing the number of municipalities from 271 to 98 and replacing the 14 counties by 5 regions, aimed at improving public sector efficiency.",A major structural reform will come into force from January 2007 reducing the number of municipalities from 271 to 98 and replacing the 14 counties by 5 regions.,35.0,35.0,EVT_DNK_2007.0_0087,1,2006,DNK_2006_001
DNK_2009_004,DNK,Denmark,2009,2007.0,2006.0,explicit,high,,,,,explicit,high,innovation,rd_funding,,,public,applied,growth_supporting,Increased funding for R&D is expected to enhance innovation and competitiveness in various sectors.,high,R&D Investment Initiative,,False,implemented,The funding has been allocated and utilized for various R&D initiatives.,high,True,3,This significant investment in R&D is a major reform aimed at enhancing the country's innovation capacity.,high,The Danish government announced investments of an additional €1.5 billion in R&D over the period of 2007-2010 to boost research and innovation activities.,The government announced investments of an additional €1.5 billion in R&D over 2007-10.,86.0,87.0,EVT_DNK_2007_0012,3,"2009,2013","DNK_2009_004,DNK_2013_013,DNK_2009_002"
DNK_2009_006,DNK,Denmark,2009,2007.0,,,,,,,,explicit,high,innovation,human_capital,,,public_private,applied,growth_supporting,"Employer-financed vocational training is expected to enhance the skills of the workforce, contributing to innovation and productivity.",high,Vocational Training Agreement,Vocational Training Commitment,False,implemented,The agreement has been put into practice and is currently active.,high,False,2,"While significant, this agreement is more of an incremental adjustment rather than a structural reform.",medium,"A new three-year collective employment agreement for the manufacturing sector was negotiated in 2007, which includes a commitment to employer-financed vocational training, allowing employees to receive training while earning a portion of their wages.",A new three-year collective employment agreement for the manufacturing sector... contained a new commitment to employer-financed vocational training.,108.0,108.0,EVT_DNK_2007_0013,1,2009,DNK_2009_006
DNK_2008_005,DNK,Denmark,2008,2008.0,,,,,,,,explicit,high,innovation,rd_funding,,,public,basic,growth_supporting,"By providing funding for basic research, the fund supports foundational knowledge creation, which is essential for long-term innovation.",high,Basic Research Support Fund,,False,implemented,The Financing Fund has been established and is operational since 2008.,high,False,2,This fund is significant for supporting basic research but does not represent a major overhaul of the funding system.,medium,"The Financing Fund was created to support basic research in Denmark, managing around DKK1.5 billion in assets.",The Financing Fund manages around DKK1.5 billion in assets that are to be used to support basic research in Denmark.,74.0,74.0,EVT_DNK_2008_0014,1,2008,DNK_2008_005
DNK_2009_003,DNK,Denmark,2009,2009.0,,,,,,,,explicit,high,innovation,research_infrastructure,,,public,adoption,growth_supporting,"This fund aims to improve infrastructure, which is crucial for economic development and efficiency.",high,Infrastructure Financing Fund,,False,implemented,"The fund has been operational since its creation, financing various infrastructure projects.",high,True,3,The establishment of a large fund for infrastructure is a significant reform with broad economic implications.,high,"The Danish government created a DKK90 billion fund to finance infrastructure projects over 2009-2020, addressing a significant infrastructure backlog and prioritizing investments based on socio-economic returns.","The government created a DKK90 billion fund to finance infrastructure projects over 2009-20, including in environment and public transport.",79.0,79.0,EVT_DNK_2009_0015,1,2009,DNK_2009_003
DNK_2009_005,DNK,Denmark,2009,2009.0,2009.0,explicit,high,,,,,explicit,high,innovation,innovation_instruments,,,private,adoption,growth_supporting,Improving the business environment is expected to enhance entrepreneurship and innovation.,high,Business Environment Reform Package,,False,implemented,The reforms have been enacted and are currently in effect.,high,True,3,This reform package represents a significant overhaul of the business operating environment.,high,"The Danish government unveiled a new package of reforms aimed at improving conditions for starting and operating businesses, which includes measures to facilitate access to authorities and streamline administrative processes.","In March 2009, the government unveiled a new package of reforms to that effect, including providing better conditions for starting and operating businesses.",,,EVT_DNK_2009_0016,1,2009,DNK_2009_005
DNK_2006_006,DNK,Denmark,2006,2010.0,2006.0,explicit,high,,,,,explicit,high,innovation,human_capital,,,public,applied,growth_supporting,Encouraging timely completion of tertiary education is expected to enhance the supply of skilled researchers and innovators.,medium,Tertiary Education Reform,Study Grant Adjustments,False,announced,The proposal has been made but not yet implemented.,medium,False,2,The reform is significant in promoting educational outcomes but is not a major overhaul.,medium,"The Danish government proposed adjustments to public study grants to encourage early entry and on-schedule completion of tertiary education, including cutting monthly grants for late starters and offering bonuses for academic progress.","To create such incentives, the government has proposed a set of adjustments of the public study grants as part of the welfare reform currently being discussed.",95.0,95.0,EVT_DNK_2010.0_0088,1,2006,DNK_2006_006
DNK_2012_001,DNK,Denmark,2012,2010.0,2011.0,explicit,high,,,,,explicit,high,innovation,startup_ecosystem,,,private,unknown,growth_supporting,Enhancing financial options for small and medium-sized companies supports their growth and innovation potential.,high,Startup Support Package,Loan Guarantee Scheme,True,implemented,The scheme has been actively in place since its boost in 2009-10.,high,False,2,"The reform significantly boosts financial options for SMEs, which is crucial for their development.",medium,"A loan guarantee scheme available to all firms has been boosted in 2009-10, aimed at enhancing financial options for small and medium-sized companies.",A loan guarantee scheme available to all firms has been boosted in 2009-10.,35.0,35.0,EVT_DNK_2010_0017,2,2012,"DNK_2012_001,DNK_2012_004"
