country_code,country_name,survey_year,sub_theme,n_reforms,n_positive,has_positive_reform
AUS,Australia,1995,rd_funding,1,1,1
AUS,Australia,1995,sectoral_rd,1,1,1
AUS,Australia,1997,human_capital,1,1,1
AUS,Australia,1997,innovation_instruments,1,1,1
AUS,Australia,1997,rd_funding,1,1,1
AUS,Australia,1998,startup_ecosystem,2,2,1
AUS,Australia,1999,rd_funding,1,1,1
AUS,Australia,2001,human_capital,1,1,1
AUS,Australia,2001,innovation_instruments,4,4,1
AUS,Australia,2001,rd_funding,4,4,1
AUS,Australia,2001,research_infrastructure,1,1,1
AUS,Australia,2003,innovation_instruments,1,1,1
AUS,Australia,2004,rd_funding,1,1,1
AUS,Australia,2008,human_capital,1,1,1
AUS,Australia,2008,innovation_instruments,1,1,1
AUS,Australia,2008,rd_funding,1,1,1
AUS,Australia,2012,human_capital,1,1,1
AUS,Australia,2012,innovation_instruments,4,3,1
AUS,Australia,2012,sectoral_rd,1,1,1
AUS,Australia,2014,innovation_instruments,1,1,1
AUS,Australia,2014,rd_funding,1,1,1
AUS,Australia,2017,human_capital,1,1,1
AUS,Australia,2017,innovation_instruments,6,6,1
AUS,Australia,2017,knowledge_transfer,3,3,1
AUS,Australia,2017,rd_funding,5,5,1
AUS,Australia,2017,research_infrastructure,1,1,1
AUS,Australia,2017,startup_ecosystem,5,5,1
AUS,Australia,2018,human_capital,1,1,1
AUS,Australia,2018,innovation_instruments,3,3,1
AUS,Australia,2018,rd_funding,1,1,1
AUS,Australia,2021,human_capital,1,1,1
AUS,Australia,2021,innovation_instruments,2,2,1
AUS,Australia,2021,rd_funding,2,2,1
AUS,Australia,2021,research_infrastructure,1,1,1
AUS,Australia,2021,sectoral_rd,2,2,1
AUS,Australia,2021,startup_ecosystem,3,3,1
AUS,Australia,2023,rd_funding,4,4,1
AUS,Australia,2023,sectoral_rd,1,1,1
AUT,Austria,1995,startup_ecosystem,1,1,1
AUT,Austria,1997,innovation_instruments,1,1,1
AUT,Austria,1997,knowledge_transfer,2,2,1
AUT,Austria,1997,rd_funding,1,1,1
AUT,Austria,1997,research_infrastructure,1,1,1
AUT,Austria,1997,startup_ecosystem,2,2,1
AUT,Austria,1998,innovation_instruments,1,1,1
AUT,Austria,1998,sectoral_rd,1,1,1
AUT,Austria,1999,innovation_instruments,1,1,1
AUT,Austria,1999,rd_funding,1,1,1
AUT,Austria,1999,sectoral_rd,1,1,1
AUT,Austria,1999,startup_ecosystem,1,1,1
AUT,Austria,2001,human_capital,1,1,1
AUT,Austria,2001,innovation_instruments,1,1,1
AUT,Austria,2001,research_infrastructure,1,1,1
AUT,Austria,2001,sectoral_rd,1,1,1
AUT,Austria,2003,innovation_instruments,1,1,1
AUT,Austria,2003,sectoral_rd,1,1,1
AUT,Austria,2005,human_capital,2,2,1
AUT,Austria,2005,innovation_instruments,5,5,1
AUT,Austria,2005,rd_funding,1,1,1
AUT,Austria,2005,startup_ecosystem,2,2,1
AUT,Austria,2007,human_capital,6,6,1
AUT,Austria,2007,innovation_instruments,5,5,1
AUT,Austria,2007,rd_funding,5,5,1
AUT,Austria,2009,human_capital,1,1,1
AUT,Austria,2009,innovation_instruments,4,4,1
AUT,Austria,2009,knowledge_transfer,1,1,1
AUT,Austria,2009,rd_funding,1,1,1
AUT,Austria,2009,startup_ecosystem,1,1,1
AUT,Austria,2011,innovation_instruments,1,1,1
AUT,Austria,2011,knowledge_transfer,1,1,1
AUT,Austria,2011,rd_funding,2,2,1
AUT,Austria,2013,rd_funding,1,1,1
AUT,Austria,2017,innovation_instruments,2,2,1
AUT,Austria,2017,knowledge_transfer,1,1,1
AUT,Austria,2017,research_infrastructure,1,1,1
AUT,Austria,2017,startup_ecosystem,1,1,1
AUT,Austria,2019,human_capital,1,1,1
AUT,Austria,2019,startup_ecosystem,1,0,0
AUT,Austria,2021,human_capital,2,2,1
AUT,Austria,2021,innovation_instruments,2,2,1
AUT,Austria,2021,rd_funding,3,3,1
AUT,Austria,2021,research_infrastructure,1,1,1
AUT,Austria,2021,startup_ecosystem,2,2,1
AUT,Austria,2024,innovation_instruments,3,3,1
AUT,Austria,2024,rd_funding,2,2,1
AUT,Austria,2024,research_infrastructure,1,1,1
AUT,Austria,2024,sectoral_rd,3,3,1
BEL,Belgium,1997,innovation_instruments,1,1,1
BEL,Belgium,1997,knowledge_transfer,1,1,1
BEL,Belgium,1997,sectoral_rd,1,1,1
BEL,Belgium,2001,startup_ecosystem,1,1,1
BEL,Belgium,2003,human_capital,1,1,1
BEL,Belgium,2003,startup_ecosystem,1,1,1
BEL,Belgium,2005,human_capital,1,1,1
BEL,Belgium,2005,innovation_instruments,2,2,1
BEL,Belgium,2005,rd_funding,2,2,1
BEL,Belgium,2005,startup_ecosystem,1,1,1
BEL,Belgium,2007,innovation_instruments,1,1,1
BEL,Belgium,2007,startup_ecosystem,1,1,1
BEL,Belgium,2009,innovation_instruments,2,1,1
BEL,Belgium,2017,innovation_instruments,4,4,1
BEL,Belgium,2017,knowledge_transfer,1,1,1
BEL,Belgium,2017,rd_funding,3,3,1
BEL,Belgium,2020,human_capital,1,1,1
BEL,Belgium,2020,innovation_instruments,3,3,1
BEL,Belgium,2020,rd_funding,1,1,1
BEL,Belgium,2020,startup_ecosystem,1,1,1
BEL,Belgium,2022,rd_funding,1,1,1
BEL,Belgium,2024,innovation_instruments,1,1,1
BEL,Belgium,2024,knowledge_transfer,1,1,1
BEL,Belgium,2024,rd_funding,1,1,1
BEL,Belgium,2024,sectoral_rd,1,1,1
BEL,Belgium,2024,startup_ecosystem,2,2,1
CAN,Canada,1995,rd_funding,1,1,1
CAN,Canada,1996,rd_funding,1,1,1
CAN,Canada,1996,startup_ecosystem,1,1,1
CAN,Canada,1997,innovation_instruments,1,1,1
CAN,Canada,1997,rd_funding,1,1,1
CAN,Canada,1997,research_infrastructure,1,1,1
CAN,Canada,1998,innovation_instruments,1,1,1
CAN,Canada,1998,rd_funding,1,1,1
CAN,Canada,1998,research_infrastructure,1,1,1
CAN,Canada,1999,innovation_instruments,1,1,1
CAN,Canada,2000,innovation_instruments,1,1,1
CAN,Canada,2000,rd_funding,1,1,1
CAN,Canada,2001,innovation_instruments,2,2,1
CAN,Canada,2001,rd_funding,3,3,1
CAN,Canada,2001,research_infrastructure,4,4,1
CAN,Canada,2003,human_capital,1,1,1
CAN,Canada,2003,innovation_instruments,1,1,1
CAN,Canada,2003,knowledge_transfer,1,1,1
CAN,Canada,2003,rd_funding,1,1,1
CAN,Canada,2004,innovation_instruments,1,1,1
CAN,Canada,2004,knowledge_transfer,1,1,1
CAN,Canada,2004,rd_funding,1,1,1
CAN,Canada,2006,innovation_instruments,5,5,1
CAN,Canada,2006,rd_funding,2,2,1
CAN,Canada,2006,research_infrastructure,1,1,1
CAN,Canada,2008,innovation_instruments,3,3,1
CAN,Canada,2008,rd_funding,3,3,1
CAN,Canada,2008,sectoral_rd,5,5,1
CAN,Canada,2010,innovation_instruments,1,1,1
CAN,Canada,2012,human_capital,2,2,1
CAN,Canada,2012,innovation_instruments,6,4,1
CAN,Canada,2012,knowledge_transfer,3,3,1
CAN,Canada,2012,rd_funding,4,4,1
CAN,Canada,2012,research_infrastructure,2,2,1
CAN,Canada,2012,sectoral_rd,1,1,1
CAN,Canada,2012,startup_ecosystem,2,2,1
CAN,Canada,2014,knowledge_transfer,1,1,1
CAN,Canada,2014,rd_funding,1,1,1
CAN,Canada,2016,innovation_instruments,3,3,1
CAN,Canada,2016,rd_funding,1,1,1
CAN,Canada,2016,sectoral_rd,1,1,1
CAN,Canada,2016,startup_ecosystem,3,3,1
CAN,Canada,2018,human_capital,2,2,1
CAN,Canada,2018,innovation_instruments,1,1,1
CAN,Canada,2018,knowledge_transfer,1,1,1
CAN,Canada,2018,rd_funding,1,1,1
CAN,Canada,2018,startup_ecosystem,2,2,1
CAN,Canada,2021,rd_funding,1,1,1
CAN,Canada,2021,research_infrastructure,1,1,1
CAN,Canada,2023,innovation_instruments,3,3,1
CAN,Canada,2023,rd_funding,2,2,1
CAN,Canada,2025,human_capital,2,2,1
CAN,Canada,2025,innovation_instruments,4,4,1
CAN,Canada,2025,rd_funding,4,4,1
CAN,Canada,2025,research_infrastructure,1,1,1
CAN,Canada,2025,startup_ecosystem,1,1,1
CHE,Switzerland,1995,innovation_instruments,1,1,1
CHE,Switzerland,1995,rd_funding,1,1,1
CHE,Switzerland,1996,rd_funding,1,1,1
CHE,Switzerland,1996,sectoral_rd,1,1,1
CHE,Switzerland,1997,human_capital,1,1,1
CHE,Switzerland,1997,knowledge_transfer,1,1,1
CHE,Switzerland,1997,rd_funding,1,1,1
CHE,Switzerland,1999,human_capital,1,1,1
CHE,Switzerland,1999,sectoral_rd,1,1,1
CHE,Switzerland,2002,rd_funding,1,1,1
CHE,Switzerland,2006,human_capital,3,3,1
CHE,Switzerland,2006,innovation_instruments,3,3,1
CHE,Switzerland,2006,knowledge_transfer,2,2,1
CHE,Switzerland,2006,rd_funding,5,4,1
CHE,Switzerland,2006,sectoral_rd,1,1,1
CHE,Switzerland,2006,startup_ecosystem,1,1,1
CHE,Switzerland,2007,rd_funding,1,1,1
CHE,Switzerland,2009,human_capital,1,1,1
CHE,Switzerland,2009,rd_funding,2,2,1
CHE,Switzerland,2011,innovation_instruments,1,1,1
CHE,Switzerland,2013,innovation_instruments,1,1,1
CHE,Switzerland,2013,rd_funding,2,2,1
CHE,Switzerland,2013,sectoral_rd,1,1,1
CHE,Switzerland,2013,startup_ecosystem,1,1,1
CHE,Switzerland,2015,innovation_instruments,1,1,1
CHE,Switzerland,2015,rd_funding,1,1,1
CHE,Switzerland,2017,innovation_instruments,2,2,1
CHE,Switzerland,2017,rd_funding,1,1,1
CHE,Switzerland,2017,startup_ecosystem,2,2,1
CHE,Switzerland,2019,human_capital,1,1,1
CHE,Switzerland,2019,innovation_instruments,1,1,1
CHE,Switzerland,2022,human_capital,1,1,1
CHE,Switzerland,2022,innovation_instruments,1,1,1
CHE,Switzerland,2022,rd_funding,1,1,1
CHE,Switzerland,2022,startup_ecosystem,1,1,1
CHE,Switzerland,2024,innovation_instruments,1,1,1
CHE,Switzerland,2024,other,1,1,1
CHE,Switzerland,2024,sectoral_rd,1,1,1
CHL,Chile,2003,innovation_instruments,1,1,1
CHL,Chile,2003,knowledge_transfer,1,1,1
CHL,Chile,2003,rd_funding,1,1,1
CHL,Chile,2003,startup_ecosystem,2,2,1
