country,agency_name,agency_type,rd_fraction,canonical_name,active_years,include_in_series,notes,classified_by
Canada,"TRÈS GRACIEUSE SOUVERAINE,",unclear,0,TRÈS GRACIEUSE SOUVERAINE,,False,Cannot determine from the name alone.,llm
Canada,WINDSOR-DETROIT BRIDGE AUTHORITY,unclear,0,Windsor-Detroit Bridge Authority,,False,The agency name does not indicate a focus on R&D.,llm
Canada,VETERANS REVIEW AND APPEAL BOARD,unclear,0,Veterans Review and Appeal Board,,False,Cannot determine R&D focus from the name alone.,llm
Canada,DEPARTMENT OF INDIGENOUS SERVICES,mixed_ministry,5,Department of Indigenous Services,,False,Broad government department where R&D is a small component.,llm
Canada,DÉFENSE NATIONALE DEPARTMENT,mixed_ministry,5,Department of National Defence,,False,Broad government department where R&D is a small component.,llm
Canada,SCHEDULE 1.7,unclear,0,SCHEDULE 1.7,,False,Cannot determine the nature of the agency from the name alone.,llm
Canada,CONSEILLER SÉNATORIAL EN ÉTHIQUE,unclear,0,Senatorial Advisor on Ethics,,False,The name does not indicate a focus on R&D.,llm
Canada,SCHEDULE 1,unclear,0,SCHEDULE 1,,False,Cannot determine the nature of the agency from the name alone.,llm
Canada,VIA RAIL CANADA INC.,mixed_ministry,5,VIA Rail Canada Inc.,,False,Primarily a transportation service provider with minimal R&D focus.,llm
Canada,SOCIAL SCIENCES AND HUMANITIES RESEARCH COUNCIL,dedicated_rd,90,Social Sciences and Humanities Research Council,,True,Agency primarily focused on funding and conducting R&D in social sciences and humanities.,llm
Canada,DIVERSIFICATION DE L’ÉCONOMIE DE L’OUEST CANADIEN,unclear,0,Diversification of Western Economic Canada,,False,Cannot determine the R&D focus from the name alone.,llm
Canada,PUBLIC HEALTH AGENCY OF CANADA,mixed_ministry,10,Public Health Agency of Canada,,False,Broad government department where R&D is a small component.,llm
Canada,CHAMBRE DES COMMUNES,unclear,0,House of Commons,,False,Cannot determine R&D focus from the name alone.,llm
Canada,SCHEDULE 1.6,unclear,0,SCHEDULE 1.6,,False,Cannot determine the nature of the agency from the name alone.,llm
Canada,THE JACQUES-CARTIER AND CHAMPLAIN BRIDGES INC.,unclear,0,The Jacques-Cartier and Champlain Bridges Inc.,,False,Agency name does not provide clear indication of R&D focus.,llm
Canada,DEPARTMENT OF NATIONAL DEFENCE,mixed_ministry,10,Department of National Defence,,False,Broad government department where R&D is a small component.,llm
Canada,SCHEDULE 1.1,unclear,0,SCHEDULE 1.1,,False,Cannot determine the nature of the agency from the name alone.,llm
Canada,VETERANS AFFAIRS,mixed_ministry,5,Veterans Affairs Canada,,False,Broad government department with R&D as a small component.,llm
Canada,DEPARTMENT OF CROWN-INDIGENOUS RELATIONS AND NORTHERN AFFAIRS,mixed_ministry,5,Department of Crown-Indigenous Relations and Northern Affairs,,False,Broad government department with R&D as a small component.,llm
Canada,NATIONAL DEFENCE,mixed_ministry,5,Department of National Defence,,False,Broad government department where R&D is a small component.,llm
Canada,ROYAL CANADIAN MOUNTED POLICE,mixed_ministry,5,Royal Canadian Mounted Police,,False,Primarily a law enforcement agency with minimal R&D activities.,llm
Canada,BIBLIOTHÈQUE DU PARLEMENT,unclear,0,Library of Parliament,,False,The name does not indicate a focus on R&D.,llm
Canada,CONSEIL DU TRÉSOR SECRETARIAT,unclear,0,Treasury Board Secretariat,,False,The name does not indicate a focus on R&D.,llm
Canada,TREASURY BOARD SECRETARIAT,mixed_ministry,5,Treasury Board Secretariat,,False,Broad government department with R&D as a small component.,llm
Canada,SCHEDULE 1.3,unclear,0,SCHEDULE 1.3,,False,Cannot determine the nature of the agency from the name alone.,llm
Canada,VETERANS AFFAIRS ANCIENS COMBATTANTS,mixed_ministry,5,Veterans Affairs Canada,,False,Broad government department with R&D as a small component.,llm
Canada,SÉCURITÉ PUBLIQUE ET PROTECTION CIVILE CANADA BORDER SERVICES AGENCY,mixed_ministry,5,Public Safety and Emergency Preparedness Canada Border Services Agency,,False,Broad government department with R&D as a small component.,llm
Canada,COMMISSION DES PLAINTES DU PUBLIC CONTRE LA GENDARMERIE ROYALE DU CANADA,unclear,0,Commission des plaintes du public contre la Gendarmerie royale du Canada,,False,The agency name does not indicate a focus on R&D.,llm
Canada,DEPARTMENT OF INDIGENOUS SERVICES CANADA,mixed_ministry,5,Department of Indigenous Services Canada,,False,Broad government department where R&D is a small component.,llm
Canada,CANADA REVENUE AGENCY,mixed_ministry,5,Canada Revenue Agency,,False,"Primarily focused on tax collection and administration, with minimal R&D component.",llm
Canada,PPP CANADA INC.,unclear,0,PPP Canada Inc.,,False,Cannot determine from the name alone.,llm
Canada,DEPARTMENT OF EMPLOYMENT AND SOCIAL DEVELOPMENT,mixed_ministry,5,Department of Employment and Social Development,,False,Broad government department where R&D is a small component.,llm
Canada,INDIAN AFFAIRS AND NORTHERN DEVELOPMENT AFFAIRES INDIENNES ET DU NORD CANADIEN DEPARTMENT,mixed_ministry,5,Department of Indian Affairs and Northern Development,,False,Broad government department with R&D as a small component.,llm
Canada,VIA HFR - VIA TGF INC. VIA HFR - VIA TGF Inc.,unclear,0,VIA HFR - VIA TGF Inc.,,False,Cannot determine the nature of the agency from the name alone.,llm
Canada,TRANSPORTS MARINE ATLANTIC INC.,mixed_ministry,5,Marine Atlantic Inc.,,False,"Primarily a transportation service provider, R&D is not a main focus.",llm
Canada,CANADA REVENUE AGENCY AGENCE DU REVENU DU CANADA,mixed_ministry,5,Canada Revenue Agency,,False,Primarily a tax collection agency with minimal R&D activities.,llm
Canada,"DEPARTMENT OF FOREIGN AFFAIRS, TRADE AND DEVELOPMENT",mixed_ministry,5,"Department of Foreign Affairs, Trade and Development",,False,Broad government department with R&D as a small component.,llm
Canada,DÉFENSE NATIONALE,mixed_ministry,10,Department of National Defence,,False,Broad government department where R&D is a small component.,llm
