canonical_name,category,name_variants,preferred_item_type,active_years,notes,agency_type,confidence,source_entity,n_years_seen,avg_amount,reason,country
Acquisition and Maintenance of Laboratory Equipment,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1995, 1995)",This budget supports the acquisition and maintenance of laboratory equipment for research.,rd_programme,0.7,Acquisition et entretien de matériel de laboratoire.,1,72000000.0,confidence below threshold,Luxembourg
Research Program in Preventive Medicine: Various Expenditures,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1983, 1984)",This program funds research in preventive medicine.,rd_programme,0.7,Programme de recherche dans le cadre de la médecine préventive: dépenses diverses,2,14500000.0,confidence below threshold,Luxembourg
"Research Program Conducted Under Title I of the Law of March 9, 1987",direct_rd,[],"['section_total', 'program_total', 'line_item']","(1992, 1992)","This entity is involved in a specific research program, indicating R&D relevance.",rd_programme,0.7,Programme de recherche effectué dans le cadre du titre I. de la loi du 9.3.1987,1,3250000.0,confidence below threshold,Luxembourg
Funding for Climate and Energy Fund,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2012, 2018)",This funding supports research related to climate and energy initiatives.,rd_fund,0.7,Alimentation du fonds climat et énergie.,3,1666733.3333333333,confidence below threshold,Luxembourg
Measures for Rational Energy Use and Savings,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2003, 2003)",This program promotes research into energy efficiency and savings.,rd_programme,0.7,Mesures destinées à promouvoir une utilisation rationnelle de l'énergie et la réalisation d'économies d'énergie.,1,1250000.0,confidence below threshold,Luxembourg
Waste Elimination: Studies and Pilot Projects for Recycling,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1989, 1989)",This program supports research and pilot projects in waste management and recycling.,rd_programme,0.7,Elimination des déchets: études et travaux pilotes dans l'intérêt du recyclage et de la récupération des déchets.,1,1000000.0,confidence below threshold,Luxembourg
Study and Research Costs on Educational Issues,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1991, 1991)","This involves research on educational issues, indicating R&D relevance.",rd_programme,0.7,Frais d'études et de recherches sur les problèmes de l'éducation.,1,690000.0,confidence below threshold,Luxembourg
Scientific research of the natural history museum,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1976, 1976)",This involves scientific research activities at the museum.,rd_programme,0.7,Recherches scientifiques du musée d'histoire naturelle,1,484000.0,confidence below threshold,Luxembourg
Museum of history and art: historical research and archaeological excavations,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1980, 1982)",This involves research activities related to history and archaeology.,rd_programme,0.7,Musée d'histoire et d'art: recherches historiques et fouilles archéologiques,2,417000.0,confidence below threshold,Luxembourg
Natural History Museum: Scientific Research,science_agency,[],"['section_total', 'program_total', 'line_item']","(1978, 1983)",Supports scientific research conducted by the museum.,rd_programme,0.7,Musée d'histoire naturelle: recherches scientifiques,6,313333.3333333333,confidence below threshold,Luxembourg
Scientific Research of the Natural History Museum,science_agency,[],"['section_total', 'program_total', 'line_item']","(1975, 1975)",Supports scientific research conducted by the museum.,rd_programme,0.7,Recherches scientifiques du musée d'histoire naturelle.,1,300000.0,confidence below threshold,Luxembourg
Costs of Experts and Studies,unclear,[],"['section_total', 'program_total', 'line_item']","(1993, 2018)",May involve research-related studies but lacks specificity.,rd_programme,0.6,Frais d'experts et d'études,11,254182.0,confidence below threshold,Luxembourg
Acquisition of Laboratory and Workshop Equipment,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1975, 1975)","This funding is for acquiring equipment that supports research activities, indicating R&D relevance.",rd_fund,0.7,Acquisition d'équipement de laboratoire et d'atelier,1,200000.0,confidence below threshold,Luxembourg
"Subsidies to Various Institutes, Centers, and Associations",direct_rd,[],"['section_total', 'program_total', 'line_item']","(1987, 1987)","These subsidies support various research entities, indicating R&D relevance.",rd_fund,0.7,"Subsides à divers instituts, centres et associations",1,200000.0,confidence below threshold,Luxembourg
Financial Contribution to CRP-Henri Tudor for the Establishment of a National Metrology Institute,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2009, 2009)","This entity supports the establishment of a national institute related to metrology, which involves R&D.",rd_programme,0.7,Contribution financière au CRP-Henri Tudor dans l'intérêt de la mise en place d'un Institut National de Métrologie,1,140000.0,confidence below threshold,Luxembourg
Acquisition of Scientific Equipment,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1975, 1975)","This entity supports the acquisition of scientific equipment, relevant to R&D.",rd_fund,0.7,Acquisition d'appareils scientifiques,1,100000.0,confidence below threshold,Luxembourg
Research Work Conducted by the Luxembourg Hospital Center: Participation in Costs,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2002, 2002)","This entity is involved in research work at a hospital, relevant to R&D.",rd_programme,0.65,Travaux de recherche effectués par le centre hospitalier de Luxembourg: participation aux frais.,1,100000.0,confidence below threshold,Luxembourg
Financial Contribution to Companies for the Implementation of the National Metrology Policy,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2023, 2023)",This contribution supports companies in a field related to research and development.,rd_programme,0.7,Contribution financière à des entreprises dans le cadre de la mise en oeuvre de la politique nationale de métrologie.,1,15000.0,confidence below threshold,Luxembourg
Acquisition of IT Equipment and Software,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2013, 2025)",This supports R&D activities through necessary technological resources.,rd_fund,0.7,Acquisition d'équipements et de logiciels informatiques,11,7363.636363636364,confidence below threshold,Luxembourg
Acquisition of IT Equipment and Software,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2010, 2010)",This supports R&D activities through necessary technological resources.,rd_fund,0.7,Acquisition d'équipements et de logiciels informatiques.,1,7000.0,confidence below threshold,Luxembourg
Acquisition of IT Equipment and Software for Research Management Activities,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2005, 2005)",This supports R&D activities through necessary technological resources.,rd_fund,0.7,Acquisition d'équipements et de logiciels informatiques dans l'intérêt de la gestion d'activités de recherche.,1,6100.0,confidence below threshold,Luxembourg
Acquisition of IT Equipment and Software for Research Management Activities,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2004, 2008)",This supports R&D activities through necessary technological resources.,rd_fund,0.7,Acquisition d'équipements et de logiciels informatiques dans l'intérêt de la gestion d'activités de recherche,4,5675.0,confidence below threshold,Luxembourg
Participation in Costs of Organizing International Scientific Conferences,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2001, 2001)",This promotes collaboration and dissemination of research findings.,rd_programme,0.6,Participation aux frais d'organisation de conférences scientifiques internationales.,1,3718.0,confidence below threshold,Luxembourg
