canonical_name,category,name_variants,preferred_item_type,active_years,notes,agency_type,confidence,source_entity,n_years_seen,avg_amount,reason,country
Innovative Services through Multimedia,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",This program promotes R&D in multimedia services.,rd_programme,0.7,Innovative Services through Multimedia,1,35000.0,confidence below threshold,Germany
683 51 Innovative Services through Multimedia,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",This program supports R&D in multimedia services.,rd_programme,0.7,683 51 Innovative Services through Multimedia,1,34000.0,confidence below threshold,Germany
Measures to Promote Rational and Economical Energy Use,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)","This initiative promotes energy efficiency, which has implications for R&D.",rd_programme,0.7,Measures to Promote Rational and Economical Energy Use,1,24910.0,confidence below threshold,Germany
Pilotanlage SAFIRA,unclear,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)","The specific focus of this pilot project is unclear, leading to uncertain R&D relevance.",unclear,0.6,Pilotanlage SAFIRA,1,22500.0,confidence below threshold,Germany
Concepts for Sustainable Use of Natural Resources,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",Focuses on sustainable practices in resource management.,rd_programme,0.7,1.2 Concepts for Sustainable Use of Natural Resources,1,18700.0,confidence below threshold,Germany
Software Technology,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",Focuses on advancing research in software technologies.,rd_programme,0.7,Software Technology,2,18100.0,confidence below threshold,Germany
Improvement of Material Efficiency,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",This initiative focuses on R&D for enhancing material efficiency.,rd_programme,0.7,Improvement of material efficiency,1,10000.0,confidence below threshold,Germany
Contributions for Scientific Institutions,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",This funding supports international scientific collaboration and R&D.,rd_fund,0.7,Contributions for European and International Scientific Institutions,1,8400.0,confidence below threshold,Germany
"Research, Studies and Similar Activities",direct_rd,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",This group focuses on various research and study activities relevant to R&D.,rd_programme,0.6,"Group 04 Research, Studies and Similar Activities",1,8350.0,confidence below threshold,Germany
Group 03 Research Initiative,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)","This initiative supports research activities, indicating R&D relevance.",rd_programme,0.7,Group 03 Research,3,8139.0,confidence below threshold,Germany
NEMO Funding Competition Support,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)","This funding competition supports innovative projects, indicating R&D relevance.",rd_fund,0.7,Support for the Funding Competition 'Network Management East' (NEMO),2,7900.0,confidence below threshold,Germany
Support for NEMO Funding Competition,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)","This funding competition supports innovative projects, indicating R&D relevance.",rd_fund,0.7,683 56 Support for the New Funding Competition 'Network Management East' (NEMO),1,6000.0,confidence below threshold,Germany
Lead Project Nutrition Research,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)","This project focuses on nutrition research, which is a relevant area of R&D.",rd_programme,0.7,7. Lead Project Nutrition Research,1,5500.0,confidence below threshold,Germany
Environmental Sciences,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",This area is crucial for R&D related to environmental issues.,rd_programme,0.7,Environmental Sciences,1,4960.0,confidence below threshold,Germany
Competitions and Awards for Young Scientists,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",These competitions encourage R&D among young scientists.,innovation_instruments,0.6,Competitions and awards for young scientists,1,4900.0,confidence below threshold,Germany
Competitions and Awards for Young Scientists,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",These competitions encourage R&D among young scientists.,innovation_instruments,0.6,Competitions and Awards for Young Scientists,1,4500.0,confidence below threshold,Germany
Energy Optimization Research in Old Buildings,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",This program supports R&D in energy optimization for older buildings.,rd_programme,0.7,Energy Optimization in Old Buildings,1,3501.0,confidence below threshold,Germany
Grants for Research Institutions,higher_education,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)","Provides funding to research institutions, indicating R&D relevance.",rd_fund,0.7,Grants to the States for Research Institutions of the Blue List,1,2978.0,confidence below threshold,Germany
Marine Aquaculture Technology Research,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)","Focuses on research in marine aquaculture technology, relevant to R&D.",rd_programme,0.7,Marine Aquaculture Technology,1,2500.0,confidence below threshold,Germany
Integrated Coastal Zone Management Research,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)","Involves research in coastal management, relevant to R&D.",rd_programme,0.65,Integrated Coastal Zone Management,1,2000.0,confidence below threshold,Germany
Research on New Drive Technologies,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1900, 2099)",This program focuses on innovative fuel technologies.,rd_programme,0.7,Other Drive Technologies with New Regeneratively Produced Fuels,1,1466.0,confidence below threshold,Germany
