canonical_name,category,name_variants,preferred_item_type,active_years,notes,agency_type,confidence,source_entity,n_years_seen,avg_amount,reason,country
R&D Programs Not According to the R&D Law,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1999, 1999)",These programs fund R&D outside the standard legal framework.,rd_programme,0.7,"תוכניות מחקר ופיתוח שלא עפ""י חוק המו""ס",1,322273.0,confidence below threshold,Israel
R&D Programs Not According to the R&D Law,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1994, 2000)",These programs fund R&D outside the standard legal framework.,rd_programme,0.7,"תוכניות מחקר ופיתוח שלא עפ""י חוק המו""פ",6,263767.0,confidence below threshold,Israel
Infrastructure Development,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1999, 1999)",This program focuses on developing infrastructure that supports research activities.,rd_programme,0.7,פיתוח תשתיות,1,78027.0,confidence below threshold,Israel
Program 05: Scientific Infrastructure,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2009, 2009)",This program is dedicated to enhancing scientific infrastructure.,rd_programme,0.7,תכנית 05: תשתיות מדע,1,63363.0,confidence below threshold,Israel
Development of Scientific and Technological Infrastructure,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1997, 2005)",This program supports the development of scientific and technological infrastructure.,rd_programme,0.7,פיתוח תשתיות מדעיות וטכנולוגיות,6,51918.4,confidence below threshold,Israel
Geological Research,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1978, 1978)",This program funds geological research projects.,rd_programme,0.7,מחקר גיאולוגי,1,44000.0,confidence below threshold,Israel
Funding for Research and Surveys,unclear,[],"['section_total', 'program_total', 'line_item']","(1995, 2001)","This funding is for research and surveys, but its R&D relevance is uncertain.",rd_fund,0.6,מימון מחקרים וסקרים,7,32035.428571428572,confidence below threshold,Israel
Science Grants,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2008, 2008)",This program offers grants to support scientific research.,rd_fund,0.7,תמיכות במדע,1,30000.0,confidence below threshold,Israel
R&D Infrastructure,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2015, 2015)",This entity focuses on funding R&D infrastructure.,rd_fund,0.65,תשתיות מו,1,15000.0,confidence below threshold,Israel
Funding through Funds,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1992, 1992)",This entity provides funding that may support R&D activities.,rd_fund,0.55,מימון באמצעות קרנות,1,9989.0,confidence below threshold,Israel
Program 05: Science Infrastructure - Program 02,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2009, 2009)","This program focuses on scientific infrastructure, relevant to R&D.",rd_programme,0.7,תכנית 05: תשתיות מדע - תכנית 02,1,7523.0,confidence below threshold,Israel
Institute for Oil and Geophysical Research,science_agency,[],"['section_total', 'program_total', 'line_item']","(1992, 1992)",This institute is dedicated to research in oil and geophysics.,dedicated_rd_agency,0.65,מכון למחקרי נפט וגיאופיזיקה,1,7375.0,confidence below threshold,Israel
Scientific Satellite Project,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1995, 1998)",This project is focused on scientific research using satellite technology.,rd_programme,0.7,פרויקט לווין מדעי,2,6250.5,confidence below threshold,Israel
Agricultural Research Farms,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1991, 1991)","This entity is involved in agricultural research, relevant to R&D.",rd_programme,0.6,חוות חקלאיות למחקר,1,5015.0,confidence below threshold,Israel
