canonical_name,category,name_variants,preferred_item_type,active_years,notes,agency_type,confidence,source_entity,n_years_seen,avg_amount,reason,country
Higher Education,higher_education,[],"['section_total', 'program_total', 'line_item']","(2004, 2005)",Higher education institutions often engage in R&D activities.,higher_education,0.7,EDUCACION SUPERIOR,2,204371015312.5,confidence below threshold,Colombia
Ministry of Mines and Energy Investment Budget,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2004, 2004)",This budget likely supports R&D in the mining and energy sectors.,rd_programme,0.7,SECCION: 2101 MINISTERIO DE MINAS Y ENERGIA C. PRESUPUESTO DE INVERSION,1,175000000000.0,confidence below threshold,Colombia
Productivity and Competitiveness of Colombian Companies,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2018, 2018)",This program supports R&D initiatives to enhance business competitiveness.,rd_programme,0.7,PRODUCTIVIDAD Y COMPETITIVIDAD DE LAS EMPRESAS COLOMBIANAS,1,109433700000.0,confidence below threshold,Colombia
Strengthening Management and Direction of the Environment and Sustainable Development Sector,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2018, 2018)",This program supports R&D in environmental management and sustainability.,rd_programme,0.7,FORTALECIMIENTO DE LA GESTIÓN Y DIRECCIÓN DEL SECTOR AMBIENTE Y DESARROLLO SOSTENIBLE,1,105410515335.0,confidence below threshold,Colombia
Strengthening Management and Direction of the Mining and Energy Sector,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2018, 2018)",This entity likely supports R&D in the mining and energy sectors.,rd_programme,0.7,FORTALECIMIENTO DE LA GESTIÓN Y DIRECCIÓN DEL SECTOR MINAS Y ENERGÍA,1,49211000000.0,confidence below threshold,Colombia
Colombian Geological Service Operating Budget,science_agency,[],"['section_total', 'program_total', 'line_item']","(2018, 2018)",This agency conducts geological research relevant to R&D.,dedicated_rd_agency,0.6,SECCION: 2103 SERVICIO GEOLÓGICO COLOMBIANO A. PRESUPUESTO DE FUNCIONAMIENTO,1,44627479000.0,confidence below threshold,Colombia
Agricultural Health and Food Safety,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2018, 2018)",This program is relevant for agricultural research and food safety.,rd_programme,0.7,SANIDAD AGROPECUARIA E INOCUIDAD AGROALIMENTARIA,1,38364700000.0,confidence below threshold,Colombia
Productive Consolidation of the Mining Sector,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2018, 2018)",This program is relevant for mining research and development.,rd_programme,0.65,CONSOLIDACIÓN PRODUCTIVA DEL SECTOR MINERO,1,35774316000.0,confidence below threshold,Colombia
Colombian Fund for the Promotion of Higher Education,higher_education,[],"['section_total', 'program_total', 'line_item']","(2002, 2002)",Supports higher education initiatives which may include R&D funding.,rd_programme,0.7,CO LOMBIANO PARA EL FOMENTO DE LA EDUCAC ION SUPERIOR,1,22407765820.0,confidence below threshold,Colombia
National Environmental Fund,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2004, 2004)",Supports environmental projects which may include R&D components.,rd_fund,0.6,SECCION: 3204 FONDO NACIONAL AMBIENTAL C. PRESUPUESTO DE INVERSION,1,20400000000.0,confidence below threshold,Colombia
