canonical_name,category,name_variants,preferred_item_type,active_years,notes,agency_type,confidence,source_entity,n_years_seen,avg_amount,reason,country
Research Institute for Education and Educational Issues,science_agency,[],"['section_total', 'program_total', 'line_item']","(1996, 1996)",This institute focuses on educational research.,dedicated_rd_agency,0.7,Research Institute for Education and Educational Issues,1,5000000.0,confidence below threshold,Iceland
Research in Oxarfirdi,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1994, 1994)",This research initiative indicates relevance to R&D activities.,rd_programme,0.7,Research in Oxarfirdi,1,3200000.0,confidence below threshold,Iceland
Knowledge and Education Centers,higher_education,[],"['section_total', 'program_total', 'line_item']","(2020, 2023)",These centers likely engage in educational and research activities.,higher_education,0.7,Knowledge and Education Centers,2,670800.0,confidence below threshold,Iceland
Various Contributions in Fisheries,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2020, 2020)",This entry suggests contributions that may support fisheries research.,rd_programme,0.7,Various contributions in fisheries,1,393800.0,confidence below threshold,Iceland
Funding for Science and Technology Strategy,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2019, 2019)",This funding supports strategic initiatives in science and technology.,rd_fund,0.7,Funding for science and technology strategy,1,192500.0,confidence below threshold,Iceland
Science and Technology Program Plan,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2022, 2022)",This program plan outlines initiatives for science and technology development.,rd_programme,0.65,Science and technology program plan,1,187600.0,confidence below threshold,Iceland
Target Plan in Science and Technology,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2020, 2020)",This plan sets targets for advancements in science and technology.,rd_programme,0.7,Target Plan in Science and Technology,1,181500.0,confidence below threshold,Iceland
University Activities,higher_education,[],"['section_total', 'program_total', 'line_item']","(2008, 2008)",This funding supports various research activities at universities.,rd_programme,0.7,University Activities,1,135700.0,confidence below threshold,Iceland
Appropriations for Competition Funds,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2024, 2024)",These appropriations likely support competitive R&D initiatives.,rd_programme,0.7,Appropriations for competition funds,1,75000.0,confidence below threshold,Iceland
Scientific Research Programme,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1999, 1999)",Covers various scientific research initiatives.,rd_programme,0.7,Research in sciences,1,46800.0,confidence below threshold,Iceland
Research Studies Programme,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1998, 1998)",Involves various research studies across disciplines.,rd_programme,0.7,Research studies,1,44800.0,confidence below threshold,Iceland
Contracts and Grants Programme,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2006, 2006)",Provides funding for research contracts and grants.,rd_fund,0.65,Contracts and grants based on applications,1,42500.0,confidence below threshold,Iceland
Agreement on Support for Construction Research,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2022, 2022)",This agreement supports research in construction.,rd_programme,0.7,Agreement on Support for Construction Research,1,26000.0,confidence below threshold,Iceland
International Collaboration Plans in Science,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2008, 2016)",This involves international collaboration in scientific research.,rd_programme,0.7,Alþjóðlegar samstarfsáætlanir á sviði vísinda,2,25400.0,confidence below threshold,Iceland
Knowledge Centre of Suðurnes,higher_education,[],"['section_total', 'program_total', 'line_item']","(2021, 2021)",This center engages in knowledge dissemination and research.,higher_education,0.7,Knowledge Centre of Suðurnes,1,23000.0,confidence below threshold,Iceland
Knowledge Centre in Blönduós,higher_education,[],"['section_total', 'program_total', 'line_item']","(2021, 2021)",This center is involved in educational and research activities.,higher_education,0.7,Knowledge Centre in Blönduós,1,23000.0,confidence below threshold,Iceland
Knowledge Centre Nýheimar,higher_education,[],"['section_total', 'program_total', 'line_item']","(2021, 2021)",This center engages in knowledge dissemination and research.,higher_education,0.7,Knowledge Centre Nýheimar,1,23000.0,confidence below threshold,Iceland
Nordic Volcano Center,science_agency,[],"['section_total', 'program_total', 'line_item']","(2003, 2003)","This center focuses on geological research, which is R&D relevant.",dedicated_rd_agency,0.7,"Nordic Volcano Center, transfer to Natural Science House",1,20000.0,confidence below threshold,Iceland
AVS Grant Allocation,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2019, 2019)",Grants from AVS are likely used for research and development purposes.,rd_fund,0.7,Allocation of grants from AVS,1,18000.0,confidence below threshold,Iceland
New Industry Research,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1985, 1985)",This program supports new research initiatives in industry.,rd_programme,0.7,New Industry Research,1,12918.0,confidence below threshold,Iceland
Collaborative Project on Knowledge Centers,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2007, 2007)",This project likely involves R&D collaboration in knowledge dissemination.,rd_programme,0.7,Collaborative project on knowledge centers,1,7000.0,confidence below threshold,Iceland
Electrical Engineering Department,higher_education,[],"['section_total', 'program_total', 'line_item']","(1989, 1989)",This department likely engages in R&D in electrical engineering.,higher_education,0.6,Electrical engineering department,1,6947.0,confidence below threshold,Iceland
Experimental Station at M6druvollum,science_agency,[],"['section_total', 'program_total', 'line_item']","(1990, 1990)",This station is likely involved in experimental research activities.,dedicated_rd_agency,0.7,Experimental station at M6druvollum,1,6355.0,confidence below threshold,Iceland
Survey of Reykjaneshrygg,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1991, 1991)",This survey is likely related to research activities.,rd_programme,0.7,Survey 4 mangangrytid Reykjaneshrygg,1,4000.0,confidence below threshold,Iceland
