country,total_include,orphans
Australia,3008,2783
Japan,2449,2164
Sweden,3168,2031
Germany,1731,1705
Italy,1511,1495
Portugal,1503,1495
Iceland,1750,1247
Slovenia,1273,1246
Denmark,1447,1229
Chile,1233,1098
Luxembourg,1078,1078
Austria,1020,874
Canada,662,568
Israel,493,484
Poland,462,436
Hungary,436,416
Norway,538,403
Costa Rica,413,396
Mexico,371,357
Turkey,341,333
Switzerland,339,327
New Zealand,409,298
Belgium,304,268
Spain,386,209
Netherlands,331,195
Korea,194,192
Estonia,162,157
Colombia,147,147
France,146,143
Latvia,142,137
Slovakia,196,136
Czech Republic,124,109
Lithuania,133,76
UK,157,72
