country,year,flag_type,detail
Australia,2004,spike_down,year-over-year ratio=0.00 vs 1999
Australia,2005,spike_up,year-over-year ratio=30.89 vs 2004
Australia,2009,spike_up,year-over-year ratio=28.26 vs 2007
Australia,2011,spike_down,year-over-year ratio=0.01 vs 2009
Australia,2012,spike_up,year-over-year ratio=102.50 vs 2011
Australia,2023,spike_down,year-over-year ratio=0.37 vs 2022
Australia,2024,spike_up,year-over-year ratio=2.53 vs 2023
Belgium,2012,spike_down,year-over-year ratio=0.01 vs 2002
Belgium,2021,spike_down,year-over-year ratio=0.01 vs 2012
Belgium,2022,spike_up,year-over-year ratio=22.43 vs 2021
Canada,1988,spike_up,year-over-year ratio=25.66 vs 1987
Canada,1990,spike_down,year-over-year ratio=0.45 vs 1989
Canada,1992,spike_up,year-over-year ratio=2.87 vs 1991
Canada,2001,spike_up,year-over-year ratio=3.06 vs 2000
Canada,2008,spike_up,year-over-year ratio=2.10 vs 2007
Canada,2012,spike_up,year-over-year ratio=2.04 vs 2011
Denmark,1976,spike_up,year-over-year ratio=2.62 vs 1975
Denmark,1979,spike_down,year-over-year ratio=0.33 vs 1978
Denmark,1980,spike_up,year-over-year ratio=7.48 vs 1979
Denmark,1981,spike_down,year-over-year ratio=0.05 vs 1980
Denmark,1983,spike_up,year-over-year ratio=10.68 vs 1982
Denmark,1984,spike_down,year-over-year ratio=0.08 vs 1983
Denmark,1985,spike_up,year-over-year ratio=33.96 vs 1984
Denmark,1988,spike_down,year-over-year ratio=0.04 vs 1987
Denmark,1990,spike_up,year-over-year ratio=3.13 vs 1989
Denmark,1991,spike_down,year-over-year ratio=0.17 vs 1990
Denmark,1992,spike_up,year-over-year ratio=2.01 vs 1991
Denmark,1994,spike_up,year-over-year ratio=3.37 vs 1993
Denmark,1998,spike_up,year-over-year ratio=5.12 vs 1997
Denmark,1999,spike_down,year-over-year ratio=0.17 vs 1998
Denmark,2001,spike_up,year-over-year ratio=2.89 vs 2000
Denmark,2007,spike_up,year-over-year ratio=5.48 vs 2006
Denmark,2008,spike_down,year-over-year ratio=0.44 vs 2007
Denmark,2012,spike_up,year-over-year ratio=2.76 vs 2011
Denmark,2014,spike_down,year-over-year ratio=0.00 vs 2013
Denmark,2015,spike_up,year-over-year ratio=1684.16 vs 2014
Denmark,2019,spike_down,year-over-year ratio=0.47 vs 2017
Denmark,2022,spike_up,year-over-year ratio=2.61 vs 2021
Finland,1996,spike_up,year-over-year ratio=19.44 vs 1985
Finland,1997,spike_down,year-over-year ratio=0.00 vs 1996
Finland,2001,spike_up,year-over-year ratio=424718.22 vs 2000
Germany,1976,spike_down,year-over-year ratio=0.03 vs 1975
Germany,1992,spike_up,year-over-year ratio=58.93 vs 1991
Germany,1993,spike_down,year-over-year ratio=0.03 vs 1992
Germany,1996,spike_up,year-over-year ratio=24.67 vs 1995
Germany,1997,spike_down,year-over-year ratio=0.04 vs 1996
Germany,2005,spike_up,year-over-year ratio=37.57 vs 2004
Germany,2014,spike_down,year-over-year ratio=0.16 vs 2013
Germany,2016,spike_up,year-over-year ratio=7.13 vs 2015
Germany,2025,spike_down,year-over-year ratio=0.01 vs 2024
Spain,1990,spike_up,year-over-year ratio=2.96 vs 1989
Spain,1993,spike_down,year-over-year ratio=0.35 vs 1992
Spain,1994,spike_up,year-over-year ratio=2.64 vs 1993
Spain,2002,spike_down,year-over-year ratio=0.01 vs 2001
Spain,2023,spike_up,year-over-year ratio=2.20 vs 2022
United Kingdom,2000,spike_down,year-over-year ratio=0.00 vs 1996
United Kingdom,2003,spike_up,year-over-year ratio=6.00 vs 2000
United Kingdom,2005,spike_up,year-over-year ratio=20.40 vs 2004
United Kingdom,2006,spike_up,year-over-year ratio=3.14 vs 2005
United Kingdom,2008,spike_down,year-over-year ratio=0.00 vs 2007
United Kingdom,2009,spike_down,year-over-year ratio=0.33 vs 2008
United Kingdom,2010,spike_up,year-over-year ratio=9.25 vs 2009
United Kingdom,2011,spike_up,year-over-year ratio=5.41 vs 2010
United Kingdom,2014,spike_up,year-over-year ratio=26.90 vs 2011
United Kingdom,2015,spike_down,year-over-year ratio=0.48 vs 2014
United Kingdom,2016,spike_up,year-over-year ratio=5.45 vs 2015
United Kingdom,2018,spike_down,year-over-year ratio=0.23 vs 2017
United Kingdom,2020,spike_up,year-over-year ratio=19.39 vs 2018
United Kingdom,2023,spike_down,year-over-year ratio=0.14 vs 2021
United Kingdom,2024,spike_down,year-over-year ratio=0.34 vs 2023
United Kingdom,2025,spike_up,year-over-year ratio=33.44 vs 2024
