country,year,canonical_name,category,amount_local,currency,unit,item_type,source_kind,source_file,page_number,line_description_en,series_notes,traceability_status
Spain,2022,CIEMAT,science_agency,144707990.0,EUR,euro,verified_override,original_pdf,2023 BOE-A-2022-22128.pdf,640,Verified against original Spain budget file,gap: no matching rows in this year; manual override from original Spain budget file,verified_against_original_file
Spain,2022,Centre for Sociological Research,direct_rd,12659110.0,EUR,euro,verified_override,original_pdf,2023 BOE-A-2022-22128.pdf,640,Verified against original Spain budget file,gap: no matching rows in this year; manual override from original Spain budget file,verified_against_original_file
Spain,2022,Esteban Terradas National Institute of Aerospace Technology,science_agency,196019400.0,EUR,euro,verified_override,original_pdf,2023 BOE-A-2022-22128.pdf,637,Verified against original Spain budget file,gap: no matching rows in this year; manual override from original Spain budget file,verified_against_original_file
Spain,2022,ISCIII (Instituto de Salud Carlos III),science_agency,487532150.0,EUR,euro,verified_override,original_pdf,2023 BOE-A-2022-22128.pdf,640,Verified against original Spain budget file,gap: no matching rows in this year; manual override from original Spain budget file,verified_against_original_file
Spain,2022,National Transplant Organization,direct_rd,6706760.0,EUR,euro,verified_override,original_pdf,2023 BOE-A-2022-22128.pdf,640,Verified against original Spain budget file,gap: no matching rows in this year; manual override from original Spain budget file,verified_against_original_file
Spain,2004,Plan Nacional I+D (total R&D appropriation),direct_rd,563045980.0,EUR,euro,verified_override,original_pdf,BOE-A-2004-21688-consolidado para 2005.pdf,149,Verified against original Spain budget file,gap: no matching rows in this year; manual override from original Spain budget file,verified_against_original_file
Spain,2005,Plan Nacional I+D (total R&D appropriation),direct_rd,1008543870.0,EUR,euro,verified_override,original_pdf,BOE-A-2005-21525-consolidado para 2006.pdf,151,Verified against original Spain budget file,gap: no matching rows in this year; manual override from original Spain budget file,verified_against_original_file
Spain,2007,Plan Nacional I+D (total R&D appropriation),direct_rd,1905919950.0,EUR,euro,verified_override,original_pdf,BOE-A-2007-22295-consolidado para 2008.pdf,177,Verified against original Spain budget file,gap: no matching rows in this year; manual override from original Spain budget file,verified_against_original_file
Spain,2010,Plan Nacional I+D (total R&D appropriation),direct_rd,2139768610.0,EUR,euro,verified_override,original_pdf,BOE-A-2010-19703-consolidado para 2011.pdf,202,Verified against original Spain budget file,gap: no matching rows in this year; manual override from original Spain budget file,verified_against_original_file
Spain,2011,Plan Nacional I+D (total R&D appropriation),direct_rd,2139768610.0,EUR,euro,verified_override,original_pdf,2011 BOE-A-2010-19703-consolidado.pdf,202,Verified against original Spain budget file,gap: no matching rows in this year; manual override from original Spain budget file,verified_against_original_file
Spain,2022,Spanish Metrology Center,direct_rd,17482090.0,EUR,euro,verified_override,original_pdf,2023 BOE-A-2022-22128.pdf,637,Verified against original Spain budget file,gap: no matching rows in this year; manual override from original Spain budget file,verified_against_original_file
