canonical_name,category,name_variants,preferred_item_type,active_years,notes,agency_type,confidence,source_entity,n_years_seen,avg_amount,reason,country
Universities,higher_education,[],"['section_total', 'program_total', 'line_item']","(1995, 1995)",Universities are key players in R&D activities.,higher_education,0.6,Ülikoolid,1,272488000.0,confidence below threshold,Estonia
Sustainable and Attractive Research and Development Activities,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2009, 2009)",This program promotes sustainable R&D initiatives.,rd_programme,0.7,jätkusuutlik ja atraktiivne teadus- ja arendustegevus,1,228058824.0,confidence below threshold,Estonia
Costs of Research Reform,unclear,[],"['section_total', 'program_total', 'line_item']","(1999, 1999)",This entity relates to costs associated with reforming research activities.,rd_programme,0.7,Teadusreformi kulud,1,4000000.0,confidence below threshold,Estonia
Allocated for Research Ordered by the Ministry,unclear,[],"['section_total', 'program_total', 'line_item']","(2000, 2000)",This entity is related to research commissioned by the ministry.,rd_programme,0.65,Ministeeriumi poolt tellitavateks teadusuuringuteks määratakse,1,3550000.0,confidence below threshold,Estonia
Research Awards,unclear,[],"['section_total', 'program_total', 'line_item']","(2003, 2009)",This entity provides awards for outstanding research contributions.,rd_programme,0.7,teaduspreemiad,4,3075000.0,confidence below threshold,Estonia
Commissioning Economic Research,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1997, 1997)",Commissioning economic research indicates a focus on R&D.,rd_programme,0.7,Majandusuuringute tellimine,1,1537400.0,confidence below threshold,Estonia
Research Awards,unclear,[],"['section_total', 'program_total', 'line_item']","(1999, 2007)",This entity provides awards for outstanding research contributions.,rd_programme,0.7,Teaduspreemiad,4,1325000.0,confidence below threshold,Estonia
Fisheries Research,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1995, 1995)",Research in fisheries is a form of applied R&D.,rd_programme,0.6,Kalamajanduslikud teadusuuringud,1,1000000.0,confidence below threshold,Estonia
Information Technology,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1999, 1999)",This program supports research in information technology.,rd_programme,0.7,Infotehnoloogia,1,843000.0,confidence below threshold,Estonia
Applied Research in Infrastructure,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1995, 1995)",This program focuses on applied research in infrastructure.,rd_programme,0.65,Infrastruktuuri rakenduslikud uurimistööd,1,300000.0,confidence below threshold,Estonia
Applied Research in Land Improvement,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1995, 1995)",This program focuses on applied research in land improvement.,rd_programme,0.6,Maaparanduse rakenduslikud uurimistööd,1,135000.0,confidence below threshold,Estonia
