country,year,canonical_hint,amount_local,currency,unit,source_file,page_number,section_name,method,canonical_name,existing_series_amount_local,candidate_status
Portugal,2006,LABORATÓRIO NACIONAL DE ENGENHARIA CIVIL,34027986.0,EUR,unit,2006 00020361.pdf,61,"ECONOMIA E INOVAÇÃO | AGRICULTURA, DESENVOLVIMENTO RURAL E PESCAS | OBRAS PÚBLICAS, TRANSPORTES E COMUNICAÇÕES | T",deterministic_map_parser,LNEC — Laboratório Nacional de Engenharia Civil (Portugal),,new_candidate
Portugal,2006,FUNDAÇÃO PARA A CIÊNCIA E TECNOLOGIA,7167870.0,EUR,unit,2006 00020361.pdf,66,"7506-(67) | RECEITAS DOS SERVIÇOS E FUNDOS AUTÓNOMOS, POR CLASSIFICAÇÃO ORGANICA, COM ESPECIFICAÇÃO | DAS RECEITAS GLOBAIS DE CADA SERVIÇO E FUNDO | 14 CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR",deterministic_map_parser,FCT — Fundação para a Ciência e a Tecnologia (Portugal),,new_candidate
Portugal,2006,LABORATÓRIO NACIONAL DE ENGENHARIA CIVIL,36747743.0,EUR,unit,2006 00020361.pdf,77,"DESPESAS DOS SERVIÇOS E FUNDOS AUTÓNOMOS, POR CLASSIFICAÇÃO ORGANICA, COM | ESPECIFICAÇÃO DAS DESPESAS GLOBAIS DE CADA SERVIÇO E FUNDO | OBRAS PÚBLICAS, TRANSPORTES E COMUNICAÇÕES | TRABALHO E SOLIDARIEDADE SOCIAL",deterministic_map_parser,LNEC — Laboratório Nacional de Engenharia Civil (Portugal),,new_candidate
Portugal,2006,FUNDAÇÃO PARA A CIÊNCIA E TECNOLOGIA,7167870.0,EUR,unit,2006 00020361.pdf,82,"7506-(83) | DESPESAS DOS SERVIÇOS E FUNDOS AUTÓNOMOS, POR CLASSIFICAÇÃO ORGANICA, COM | ESPECIFICAÇÃO DAS DESPESAS GLOBAIS DE CADA SERVIÇO E FUNDO | 14 CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR",deterministic_map_parser,FCT — Fundação para a Ciência e a Tecnologia (Portugal),,new_candidate
Portugal,2017,LABORATÓRIO NACIONAL DE ENGENHARIA CIVIL,188677845.0,EUR,unit,2017 Lei_42_2016-OE2017_VersaoDR.pdf,105,PLANEAMENTO E INFRAESTRUTURAS | ECONOMIA | AMBIENTE,deterministic_map_parser,LNEC — Laboratório Nacional de Engenharia Civil (Portugal),,new_candidate
Portugal,2017,"AGENCIA NACIONAL DE INOVAÇAO, SA",28209173.0,EUR,unit,2017 Lei_42_2016-OE2017_VersaoDR.pdf,105,PLANEAMENTO E INFRAESTRUTURAS | ECONOMIA | AMBIENTE,deterministic_map_parser,ANI — Agência Nacional de Inovação (Portugal),,new_candidate
Portugal,2017,"FUNDAÇÃO PARA A CIÊNCIA E TECNOLOGIA, I.P.",444782248.0,EUR,unit,2017 Lei_42_2016-OE2017_VersaoDR.pdf,114,"CIENCIA, TECNOLOGIA E ENSINO SUPERIOR",deterministic_map_parser,FCT — Fundação para a Ciência e a Tecnologia (Portugal),444782248.0,match_series
Portugal,2017,LABORATÓRIO NACIONAL DE ENGENHARIA CIVIL,57212675.0,EUR,unit,2017 Lei_42_2016-OE2017_VersaoDR.pdf,119,SAÚDE | PLANEAMENTO E INFRAESTRUTURAS | ECONOMIA,deterministic_map_parser,LNEC — Laboratório Nacional de Engenharia Civil (Portugal),,new_candidate
Portugal,2017,"AGENCIA NACIONAL DE INOVAÇAO, SA",7908853.0,EUR,unit,2017 Lei_42_2016-OE2017_VersaoDR.pdf,119,SAÚDE | PLANEAMENTO E INFRAESTRUTURAS | ECONOMIA,deterministic_map_parser,ANI — Agência Nacional de Inovação (Portugal),,new_candidate
Portugal,2004,FUNDAÇÃO PARA A CIÊNCIA E A TECNOLOGIA,5466652.0,EUR,unit,Lei orcamento para 2004.pdf,50,"RECEITAS DOS SERVIÇOS E FUNDOS AUTÓNOMOS, POR CLASSIFICAÇÃO ORGANICA, COM ESPECIFICAÇÃO DAS | RECEITAS GLOBAIS DE CADA SERVIÇO E FUNDO | 2003-12-09 | 10 CIÊNCIA E ENSINO SUPERIOR",deterministic_map_parser,,,new_candidate
