year,canonical_name,reason
1991,JNICT — Junta Nacional de Investigação Científica e Tecnológica (Portugal),legal text or non-institutional support line rather than a clean agency appropriation
1993,JNICT — Junta Nacional de Investigação Científica e Tecnológica (Portugal),legal text or non-institutional support line rather than a clean agency appropriation
1995,JNICT — Junta Nacional de Investigação Científica e Tecnológica (Portugal),legal text or non-institutional support line rather than a clean agency appropriation
2000,LNEC — Laboratório Nacional de Engenharia Civil (Portugal),legal text or non-institutional support line rather than a clean agency appropriation
2001,FCT — Fundação para a Ciência e a Tecnologia (Portugal),"verified against original PDF (page 490): source is a PIDDAC multi-year project financing table (columns for -31/12/1999-, 2000, 2001, 2002, 2003, TOTAL) not a single-year institutional appropriation"
2002,FCT — Fundação para a Ciência e a Tecnologia (Portugal),plurianual PIDDAC project table rather than a clean agency appropriation
2002,LNEC — Laboratório Nacional de Engenharia Civil (Portugal),legal text or non-institutional support line rather than a clean agency appropriation
2003,FCT — Fundação para a Ciência e a Tecnologia (Portugal),plurianual PIDDAC project table rather than a clean agency appropriation
2003,LNEC — Laboratório Nacional de Engenharia Civil (Portugal),legal text or non-institutional support line rather than a clean agency appropriation
2004,FCT — Fundação para a Ciência e a Tecnologia (Portugal),plurianual PIDDAC project table rather than a clean agency appropriation
2005,FCT — Fundação para a Ciência e a Tecnologia (Portugal),plurianual PIDDAC project table rather than a clean agency appropriation
2009,ANI — Agência Nacional de Inovação (Portugal),legal text or non-institutional support line rather than a clean agency appropriation
2014,ANI — Agência Nacional de Inovação (Portugal),legal text or non-institutional support line rather than a clean agency appropriation
2021,FCT — Fundação para a Ciência e a Tecnologia (Portugal),legal text or non-institutional support line rather than a clean agency appropriation
2022,FCT — Fundação para a Ciência e a Tecnologia (Portugal),legal text or non-institutional support line rather than a clean agency appropriation
2024,ANI — Agência Nacional de Inovação (Portugal),legal text or non-institutional support line rather than a clean agency appropriation
2024,FCT — Fundação para a Ciência e a Tecnologia (Portugal),legal text or non-institutional support line rather than a clean agency appropriation
2025,ANI — Agência Nacional de Inovação (Portugal),legal text or non-institutional support line rather than a clean agency appropriation
2025,FCT — Fundação para a Ciência e a Tecnologia (Portugal),legal text or non-institutional support line rather than a clean agency appropriation
