reform_id,country_code,country_name,survey_year,implementation_year,announcement_year,announcement_year_source,announcement_year_confidence,legislation_year,legislation_year_source,legislation_year_confidence,implementation_year_end,implementation_year_source,implementation_year_confidence,theme,sub_theme,secondary_type,alternative_theme,rd_actor,rd_stage,growth_orientation,growth_orientation_rationale,growth_orientation_confidence,package_name,component_name,is_component,status,status_evidence,status_confidence,is_major_reform,importance_bucket,importance_rationale,importance_confidence,description,source_quote,source_page_start,source_page_end
JPN_1994_001,JPN,Japan,1994,1992.0,1992.0,explicit,high,,,,,explicit,high,innovation,rd_funding,,,public,unknown,growth_supporting,"Public R&D funding builds research capacity and human capital, supporting long-term productivity and innovation.",medium,Four Economic Packages (1992–1994),Education and Research Allocation,True,implemented,The August 1992 package was announced and implemented; the April 1993 package followed with additional education and research allocation.,high,False,1,"A modest allocation within a broader fiscal stimulus package; while supporting R&D, the amount (¥1.7 trillion total across two years) represents only 0.1–0.2% of GDP per package and is not a structural reform of the R&D system.",high,"Japan allocated ¥550 billion (0.1% of GDP) in the August 1992 economic package and ¥1,150 billion (0.2% of GDP) in the April 1993 package specifically for education and research, as part of broader fiscal stimulus measures.",Education and research 550 0.1 1 150 0.2 0 0.0 0 0.0 6650 0.4,49.0,49.0
JPN_1993_002,JPN,Japan,1993,1993.0,1993.0,explicit,high,1993.0,inferred,high,,explicit,high,innovation,research_infrastructure,,,public,unknown,growth_supporting,"Investment in research infrastructure and education facilities supports long-term productivity growth and human capital accumulation, enhancing innovation capacity.",high,April 1993 Public Infrastructure and Social Investment Package,Research and Education Infrastructure Investment,True,legislated,"Text describes the April 1993 fiscal package as an allocation decision, indicating legislative passage but implementation status not explicitly confirmed as complete.",high,False,2,"Significant infrastructure investment programme with substantial budget allocation (¥1.15 trillion), but part of a broader counter-cyclical fiscal package rather than a structural reform of the research system.",high,"The April 1993 fiscal package allocated ¥1.15 trillion for investment in education, research and social welfare facilities as part of a broader public infrastructure spending programme.","In addition to general public works (Y 7.67 trillion), the infrastructure spending incorporated Y 1.15 trillion for investment in education, research and social welfare facilities.",54.0,54.0
JPN_1996_003,JPN,Japan,1996,1995.0,1995.0,explicit,high,,,,,explicit,high,innovation,sectoral_rd,,,public,applied,growth_supporting,Targeted energy conservation research supports long-term productivity and competitiveness in a strategically important sector while addressing environmental sustainability.,medium,Sectoral R&D Programmes (1995–1996),New Sunshine Programme,True,implemented,The New Sunshine Programme was in operation by 1995.,high,False,2,A sectoral R&D programme targeting energy conservation represents a significant but focused initiative rather than a system-wide reform.,medium,"The 1995 'New Sunshine Programme' focuses on energy conservation research, representing a sectoral R&D initiative targeting a specific policy priority in the energy sector.","The 1995 'New Sunshine Programme', for example, focuses on energy conservation.",,
JPN_1996_001,JPN,Japan,1996,1996.0,1996.0,inferred,high,,,,,explicit,high,innovation,rd_funding,,,public,basic,growth_supporting,"Increased public investment in basic research strengthens the knowledge foundation for future technological innovation and productivity growth, addressing a structural weakness in Japan's innovation system.",high,1996 Basic Research Expansion Initiative,Technology and Innovation — Basic Research Emphasis,False,implemented,Five-year plan adopted by Japanese government in July 1996 with government initiatives already underway across sectors.,high,True,3,"A five-year government plan to systematically increase public R&D spending and improve research quality across multiple sectors represents a structural, system-wide policy change.",high,"In response to identified weaknesses in basic research and the 'hollowing-out' of Japan's R&D, the Japanese government adopted a five-year plan in July 1996 to improve the quality of R&D and increase public spending on basic research. This initiative aligns with OECD recommendations to increase emphasis on basic research and improve efficiency of public spending on technology, with the goal of laying the foundation for future innovation through numerous government initiatives across public, private and university sectors.","Increase the emphasis on basic research and improve the efficiency of public spending on technology. While Japan has had remarkable success in technology development, basic research will help lay the foundation for future innovation.",132.0,132.0
JPN_1996_002,JPN,Japan,1996,1996.0,,,,,,,,explicit,high,innovation,startup_ecosystem,,,private,commercialization,growth_supporting,"Facilitating equity issuance for venture company employees and directors reduces capital constraints and incentive misalignment in early-stage innovative firms, supporting commercialization and entrepreneurship.",high,1996 Venture Capital & Startup Support Reforms,,False,implemented,"Revised New Business Law was applicable by 1996, with 57 companies certified by MITI by August 1996.",high,False,2,A legislative reform to the New Business Law represents a significant but narrower policy change focused on venture capital structure rather than a system-wide overhaul.,medium,"Japan's revised New Business Law, applicable to unlisted venture companies, allows advantageous issuance of new stock (up to one-third of total shares) to directors and employees within ten years of a special shareholder agreement. By August 1996, only 57 companies had been certified by MITI under this scheme.","The revised New Business Law is only applicable to unlisted venture companies. By August 1996, only 57 companies had been certified by MITI. It allows an advantageous issue of new stock, amounting to as much as a third of total shares, to both directors and employees within ten years of a special agreement at a general shareholders meeting.",207.0,207.0
JPN_2000_001,JPN,Japan,2000,1996.0,1996.0,explicit,high,,,,,explicit,high,innovation,rd_funding,innovation_instruments,,public,basic,growth_supporting,"Increased public R&D funding and introduction of competitive allocation mechanisms enhance research capacity and allocative efficiency, supporting long-term productivity growth.",high,Science and Technology Basic Plan (1996-2000),Five-year R&D allocation and competitive project funding scheme,False,implemented,Plan was decided in 1996 and implemented through FY2000; described as implemented in multiple entries.,high,True,3,"Structural, system-wide reform establishing a major five-year R&D investment programme with 17.2 trillion yen allocation and introduction of competitive funding mechanisms.",high,"Japan implemented a Science and Technology Basic Plan (decided in 1996) allocating 17.2 trillion yen over five years to R&D, aiming to increase R&D spending toward OECD average levels. The plan boosted budgetary allocation for science and technology in FY2000 as the final year of this five-year plan to strengthen basic R&D capacity. A new competitive scheme for allocating project funds was introduced, though its share remained below 10% compared to higher shares in the US and UK. Japan increased emphasis on basic research and improved efficiency of public technology spending through ongoing efforts to make the system more flexible, competitive and open.","Following the Science and Technology Basic Plan (decided in 1996), the government allocated 17.2 trillion yen in total to R&D for five years up to FY2000, aiming to lift its share toward the OECD average.",,
JPN_2009_008,JPN,Japan,2009,1996.0,,,,,,,,explicit,high,innovation,sectoral_rd,,,public,applied,growth_supporting,"Strategic R&D investment in renewable energy technologies supports long-term productivity growth, technological competitiveness, and addresses market failures in clean energy innovation.",high,Renewable Energy R&D Investment,Renewable energy technology development,False,implemented,"Described as historical investment trend between 1996 and 2006; supporting policies (2003 RPS, 2008 goal) explicitly stated.",high,False,2,"Significant sectoral R&D initiative with doubling of investment over a decade, but described as historical trend rather than a discrete policy reform.",medium,"Japan's R&D on renewable energy more than doubled between 1996 and 2006, reflecting strategic investment in technological advancement for renewable energy sources, supporting the 2003 Renewable Portfolio Standard and the 2008 goal to increase zero-emission electricity generation.","Although total R&D outlays on energy fell slightly between 1996 and 2006, Japan's R&D on renewables more than doubled over that period.",145.0,145.0
JPN_2006_026,JPN,Japan,2006,1997.0,,,,,,,,explicit,high,innovation,knowledge_transfer,human_capital,,public_private,commercialization,growth_supporting,"Enabling researcher mobility and university-industry interaction facilitates knowledge transfer, spinoff creation, and commercialization of research, supporting innovation-driven growth.",high,University-Industry Linkage Reforms,National University Incorporation and Researcher Mobility,True,implemented,The text states 'regulations on university professors have been gradually relaxed since 1997' and 'Such opportunities were further enhanced by the re-organisation of the national universities into national university corporations in FY2004.',high,True,3,"A major structural reform spanning multiple years (1997–2004) affecting the entire national university system, fundamentally changing researcher mobility and university-industry collaboration frameworks with measurable outcomes (university-related venture businesses rose from ~100 in 2000 to 1130 in 2005).",high,"Japan relaxed regulations on university professors starting in 1997 to allow them to work in private firms, and further enhanced these opportunities through the reorganization of national universities into 'national university corporations' in FY2004. Professors gained freedom to interact with businesses and start their own firms, with universities gaining autonomy in hiring, promotion, and collaborative agreements.",Regulations on university professors have been gradually relaxed since 1997 to widen the possibility for them to work in private firms. Such opportunities were further enhanced by the re-organisation of the national universities into 'national university corporations' in FY2004.,,
JPN_1999_003,JPN,Japan,1999,1998.0,,,,,,,,explicit,high,innovation,startup_ecosystem,,,private,adoption,growth_supporting,"Loans and credit insurance reduce financing barriers for startups and venture firms, enabling business formation and growth in the private sector.",high,1998 Emergency Economic Measures,Startup Financing & Credit Support,True,implemented,"Text states 'implemented' for both entries, confirming programmes were in force by 1998–1999.",high,False,2,"Significant policy package supporting startup ecosystem, but narrower than system-wide structural reforms.",high,"Japan implemented tax and lending programmes to encourage startup formation and venture business development, including loans and credit insurance programmes for start-ups and venture firms to support private-sector business venture risks and the growth of dynamic small businesses, following the November 1998 Emergency Economic Measures.","the government has just made a number of changes that will ease corporate restructuring, promote technological innovation and encourage the private sector to take more business venture risks by, for example, facilitating mergers and acquisitions and employee buyouts, handing back intellectual property rights to private researchers sponsored by the government, and providing loans and credit insurance to start-ups and venture firms",200.0,200.0
JPN_2000_003,JPN,Japan,2000,1998.0,1998.0,explicit,high,,,,,explicit,high,innovation,startup_ecosystem,innovation_instruments,,private,adoption,mixed,"Tax and lending programmes support startup creation and growth, which can enhance innovation and productivity. However, assessment notes lack of focus and effectiveness issues, suggesting mixed or limited actual impact on growth.",medium,Emergency Economic Measures Startup Support (1998),Tax and lending programmes for start-ups and venture business,False,implemented,Programmes introduced since November 1998 Emergency Economic Measures; described as implemented.,high,False,2,"Significant policy initiative introducing multiple tax and lending programmes for startup support, though effectiveness was questioned.",medium,"Japan encouraged more start-ups and venture business through numerous tax and lending programmes introduced since the November 1998 Emergency Economic Measures. However, programmes were assessed as lacking focus and venture finance remained less of a problem than venture firm effectiveness.",Encourage more start-ups and venture business. Numerous tax and lending programmes since the November 1998 Emergency Economic Measures. Programmes lacking focus. Venture finance less of a problem than before but venture firms not effective.,,
