country,year,canonical_name,verdict,old_rows,old_amounts,review_amount,review_unit,preferred_source_files,reason,confidence,applied,skip_reason,match_reason
Switzerland,2004,ESA contributions (Swiss),correct,1,44000000000.0,44000.0,thousand,"[""2004 V04_Botschaft.pdf""]","The document snippet indicates a contribution of 44 million CHF to ESA, which corresponds to 44,000 thousand, correcting the current total from 44 billion to 44 million.",0.9,False,no_exact_source_match,no_exact_source_match
Switzerland,2005,ESA contributions (Swiss),keep,1,121230000000.0,121230000000.0,thousand,"[""2005-VA3-d.pdf""]",The current annual total is supported by the source document row which confirms the amount as a valid contribution to ESA.,1.0,False,verdict_not_actionable,
Switzerland,2006,ESA contributions (Swiss),correct,2,48000000000.0 | 150722000000.0,198722000000.0,thousand,"[""2006-VA3-d.pdf""]","The total from the source document aligns with the current annual total, indicating it is correct despite the outlier classification.",0.9,True,,matched_row_sum
Switzerland,2008,ESA contributions (Swiss),correct,1,155990400000.0,155990400.0,thousand,"[""2008-VA3-d.pdf""]","The amount of 155,990,400,000 thousand appears to be a unit error; the correct amount should be 155,990,400 thousand based on the source document.",0.9,False,no_exact_source_match,no_exact_source_match
Switzerland,2010,ESA contributions (Swiss),keep,1,145354900000.0,145354900000.0,thousand,"[""2010-VA3-d.pdf""]","The current annual total of 145,354,900,000 thousand is directly supported by the source document row, which lists the same amount for the European Space Agency (ESA) contributions.",1.0,False,verdict_not_actionable,
Switzerland,2011,ESA contributions (Swiss),keep,1,150409700000.0,150409700000.0,thousand,"[""2011-VA3-d.pdf""]","The current annual total of 150,409,700,000 thousand is directly supported by the source document row, which lists the same amount for the European Space Agency (ESA) contributions.",1.0,False,verdict_not_actionable,
Switzerland,2012,ESA contributions (Swiss),keep,1,145354900000.0,145354900000.0,thousand,"[""2012-VA3-d.pdf""]","The current annual total of 145,354,900,000 thousand is directly supported by the source document row, which lists the same amount for the European Space Agency (ESA) contributions.",1.0,False,verdict_not_actionable,
Switzerland,2013,ESA contributions (Swiss),correct,1,153080820000.0,153080820000.0,thousand,"[""2013-VA3-d.pdf""]","The current annual total of 153,080,820,000 thousand is directly supported by the source document row, which lists the same amount for the European Space Agency (ESA) contributions.",1.0,True,,matched_single_row
Switzerland,2016,ESA contributions (Swiss),correct,1,165653500000.0,165653500.0,thousand,"[""2016-VA3-d.pdf""]","The amount of 165,653,500,000 thousand appears to be a unit error; the correct amount should be 165,653,500 thousand based on the document snippet which lists the contribution to ESA as 165,653,500.",0.9,False,no_exact_source_match,no_exact_source_match
Switzerland,2021,ESA contributions (Swiss),keep,1,185133000.0,185133000.0,thousand,"[""2021-VA_Band3-d.pdf""]","The current annual total of 185,133,000 thousand CHF is supported by the source document row and is consistent with the reported contributions to ESA.",1.0,False,verdict_not_actionable,
