year,canonical_name,agency_short,amount_local,currency,source_file,page_number,evidence_type,traceability_note
2010,CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),CONICIT,751503500.0,CRC,pdf_4c260828c63b__2010_Ley_de_presupuesto.txt,96.0,institution_bundle_verified,Main competitive research funding body in Costa Rica.; manual override from original Costa Rica budget file
2011,CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),CATIE,11805900.0,CRC,pdf_2cd269e29d69__2011_Ley_de_presupuesto.txt,429.0,direct_line_verified,manual override from original Costa Rica budget file; ordinary annual quota on page 429
2011,INTA (Instituto Nacional de Innovación y Transferencia en Tecnología Agropecuaria),INTA,12387747000.0,CRC,pdf_2cd269e29d69__2011_Ley_de_presupuesto.txt,440.0,program_total_verified,manual override from original Costa Rica budget file
2013,CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),CATIE,26000000.0,CRC,pdf_2ca1f7962cd2__2013_Tomo2_Ley_de_presupuesto.txt,144.0,direct_line_verified,gap: no matching rows in this year; manual override from original Costa Rica budget file
2013,INTA (Instituto Nacional de Innovación y Transferencia en Tecnología Agropecuaria),INTA,4043611000.0,CRC,pdf_2ca1f7962cd2__2013_Tomo2_Ley_de_presupuesto.txt,161.0,program_total_verified,manual override from original Costa Rica budget file; program total for investigacion agropecuaria on tomo 2 page 161; replaces prior double-counted summary
2017,CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),CATIE,27510000.0,CRC,pdf_b7628d47c028__2017_Tomo1_Ley_de_presupuesto.txt,363.0,direct_line_verified,gap: no matching rows in this year; manual override from original Costa Rica budget file
2017,"MICITT (Ministerio de Ciencia, Innovación, Tecnología y Telecomunicaciones)",MICITT,6753000922.0,CRC,pdf_b6df2745474e__2017_Tomo3_Ley_de_presupuesto.txt,40.0,program_total_verified,manual override from original Costa Rica budget file
2020,CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),CATIE,30550000.0,CRC,pdf_65d032f4c4ef__2020_Ley_de_presupuesto.txt,368.0,direct_line_verified,gap: no matching rows in this year; manual override from original Costa Rica budget file
2021,CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),CATIE,30600000.0,CRC,pdf_ac902c30ecd9__2021_Ley_de_presupuesto.txt,435.0,direct_line_verified,gap: no matching rows in this year; manual override from original Costa Rica budget file
2021,CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),CONICIT,1839934582.0,CRC,pdf_ac902c30ecd9__2021_Ley_de_presupuesto.txt,1432.0,institution_bundle_verified,Main competitive research funding body in Costa Rica.; manual override from original Costa Rica budget file
2021,INTA (Instituto Nacional de Innovación y Transferencia en Tecnología Agropecuaria),INTA,4629768709.0,CRC,pdf_ac902c30ecd9__2021_Ley_de_presupuesto.txt,415.0,program_total_verified,manual override from original Costa Rica budget file
2021,"MICITT (Ministerio de Ciencia, Innovación, Tecnología y Telecomunicaciones)",MICITT,5205572746.0,CRC,pdf_ac902c30ecd9__2021_Ley_de_presupuesto.txt,1416.0,program_total_verified,manual override from original Costa Rica budget file
2024,CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),CATIE,27090000.0,CRC,pdf_70b402f40a19__2024_Ley_de_presupuesto.txt,434.0,direct_line_verified,gap: no matching rows in this year; manual override from original Costa Rica budget file
2024,INCIENSA (health and nutrition research),INCIENSA,7405300000.0,CRC,pdf_70b402f40a19__2024_Ley_de_presupuesto.txt,1061.0,program_total_verified,manual override from original Costa Rica budget file
2024,"MICITT (Ministerio de Ciencia, Innovación, Tecnología y Telecomunicaciones)",MICITT,8789530987.0,CRC,pdf_70b402f40a19__2024_Ley_de_presupuesto.txt,1564.0,program_total_verified,gap: no matching rows in this year; manual override from original Costa Rica budget file
2024,Promotora Costarricense de Innovación e Investigación (PCII),PCII,1571508437.0,CRC,pdf_70b402f40a19__2024_Ley_de_presupuesto.txt,1423.0,institution_bundle_verified,manual override from original Costa Rica budget file
2025,CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),CATIE,30100000.0,CRC,pdf_ef12aca9f998__2025_Ley_de_presupuesto.txt,471.0,direct_line_verified,gap: no matching rows in this year; manual override from original Costa Rica budget file
2025,INCIENSA (health and nutrition research),INCIENSA,6440000000.0,CRC,pdf_ef12aca9f998__2025_Ley_de_presupuesto.txt,884.0,program_total_verified,manual override from original Costa Rica budget file
2025,"MICITT (Ministerio de Ciencia, Innovación, Tecnología y Telecomunicaciones)",MICITT,7890373607.0,CRC,pdf_ef12aca9f998__2025_Ley_de_presupuesto.txt,1416.0,program_total_verified,manual override from original Costa Rica budget file
2025,Promotora Costarricense de Innovación e Investigación (PCII),PCII,1571508437.0,CRC,pdf_ef12aca9f998__2025_Ley_de_presupuesto.txt,1426.0,institution_bundle_verified,manual override from original Costa Rica budget file
